"answer","question","subject","option1","option2","option3","option4","explanation"
"Tom Riddle's Diary","Which object serves as one of Voldemort's Horcruxes and possesses the ability to possess and control its user in 'Harry Potter and the Chamber of Secrets'?","Harry Potter","Victor Krum's Dragon","Viktor Krum","Vincent Crabbe","Tom Riddle's Diary","Tom Riddle's Diary is a Horcrux."
"Tom Riddle's Diary","What magical document shows a detailed, live-action map of Hogwarts School of Witchcraft and Wizardry?","Harry Potter","The Mirror of Erised","The Order of the Phoenix","The Philosopher's Stone","The Marauder's Map","The Marauder's Map displays Hogwarts map."
"Tom Riddle","What is the birth name of the young wizard who later becomes known as Lord Voldemort?","Harry Potter","Tom Riddle's Diary","Victor Krum","Viktor Krum","Tom Riddle","Tom Riddle is Voldemort's birth name."
"Thestrals","What winged, skeletal creatures are visible only to those who have witnessed death?","Harry Potter","Tom Riddle","Tom Riddle's Diary","Victor Krum's Dragon","Thestrals","Thestrals are visible to some due to death."
"Thestral Carriages","What horse-like magical creatures pull the carriages that transport students from the Hogwarts Express to Hogwarts Castle?","Harry Potter","Thestrals","Tom Riddle","Tom Riddle's Diary","Thestral Carriages","Thestral Carriages transport students."
"The Yule Ball","What formal event is held at Hogwarts School of Witchcraft and Wizardry during the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Thestral Carriages","Thestrals","Tom Riddle","The Yule Ball","The Yule Ball is a formal event."
"The Whomping Willow","What dangerous magical tree is planted on the grounds of Hogwarts?","Harry Potter","The Yule Ball","Thestral Carriages","Thestrals","The Whomping Willow","The Whomping Willow is a dangerous tree."
"The Veil","What mysterious object in the Department of Mysteries is a gateway to the afterlife?","Harry Potter","The Sorcerer's Stone","The Sorting Hat","The Sword of Gryffindor","The Veil","The Veil is a mysterious gateway to the afterlife."
"The Unforgivable Curses","What are the three forbidden curses in the Harry Potter series, considered to be the darkest spells?","Harry Potter","The Veil","The Sorcerer's Stone","The Sorting Hat","The Unforgivable Curses","The Unforgivable Curses are dark and forbidden spells."
"The Unbreakable Vow","What magical vow is considered unbreakable and is featured?","Harry Potter","The Unforgivable Curses","The Veil","The Sorcerer's Stone","The Unbreakable Vow","The Unbreakable Vow is a significant magical commitment."
"The Triwizard Tournament","Which major international Quidditch sporting event is held every four years?","Harry Potter","The Unbreakable Vow","The Unforgivable Curses","The Veil","The Triwizard Tournament","The Triwizard Tournament is a central event."
"The Three Broomsticks","What is the name of the popular pub in Hogsmeade frequented by wizards and witches?","Harry Potter","The Triwizard Cup","The Unbreakable Vow","The Unforgivable Curses","The Three Broomsticks","The Three Broomsticks is a well-known pub."
"The Tale of the Three Brothers","Which wizarding fairy tale tells the story of three magical brothers and the Deathly Hallows in 'Harry Potter and the Deathly Hallows'?","Harry Potter","The Third Task","The Three Broomsticks","The Triwizard Cup","The Tale of the Three Brothers","The tale tells the story of the Deathly Hallows."
"The Sword of Gryffindor","What powerful magical weapon is used by Harry to defeat the basilisk in the Chamber of Secrets in 'Harry Potter and the Chamber of Secrets'?","Harry Potter","The Tale of the Three Brothers","The Third Task","The Three Broomsticks","The Sword of Gryffindor","The Sword of Gryffindor is a significant weapon."
"The Sorting Hat","What magical object is used to assign students to their respective Hogwarts houses?","Harry Potter","The Sword of Gryffindor","The Tale of the Three Brothers","The Third Task","The Sorting Hat","The Sorting Hat sorts students into houses."
"The Sorcerer's Stone","What is the alternative title for the first book in the Harry Potter series, known as 'Harry Potter and the Philosopher's Stone' in the UK?","Harry Potter","The Sorting Hat","The Sword of Gryffindor","The Tale of the Three Brothers","The Sorcerer's Stone","The Sorcerer's Stone is the alternative title."
"The Shrieking Shack","What building near Hogsmeade is known for being haunted and is central to the plot in 'Harry Potter and the Prisoner of Azkaban'?","Harry Potter","The Slug Club","The Portkey","The Prisoner of Azkaban","The Shrieking Shack","The Shrieking Shack is a significant location in the third book."
"The Room of Requirement","What magical room at Hogwarts only appears when a person is in great need?","Harry Potter","The Second Task","The Shrieking Shack","The Slug Club","The Room of Requirement","The Room of Requirement appears when needed."
"The Ring Horcrux","Which object serves as one of Voldemort's Horcruxes and is connected to the Gaunt family?","Harry Potter","The Room of Requirement","The Second Task","The Shrieking Shack","The Ring Horcrux","The Ring Horcrux has ties to the Gaunt family."
"The Resurrection Stone","What is one of the Deathly Hallows that allows its possessor to bring back the dead briefly?","Harry Potter","The Ring Horcrux","The Room of Requirement","The Second Task","The Resurrection Stone","The Resurrection Stone is one of the Deathly Hallows."
"The Quidditch Pitch","Where do Quidditch matches take place?","Harry Potter","The Resurrection Stone","The Ring Horcrux","The Room of Requirement","The Quidditch Pitch","Quidditch matches happen on the pitch."
"The Quibbler","What is the name of the eccentric wizarding magazine edited by Xenophilius Lovegood?","Harry Potter","The Quidditch Pitch","The Resurrection Stone","The Ring Horcrux","The Quibbler","Xenophilius Lovegood edits The Quibbler."
"The Prophecy","What significant object foretells the prophecy about Harry and Voldemort's fate in 'Harry Potter and the Order of the Phoenix'?","Harry Potter","The Quibbler","The Quidditch Pitch","The Resurrection Stone","The Prophecy","The prophecy is crucial in the fifth book's plot."
"The Prisoner of Azkaban","Which book in the Harry Potter series is the third installment, featuring Sirius Black and the Marauder's Map?","Harry Potter","The Prophecy","The Quibbler","The Quidditch Pitch","The Prisoner of Azkaban","The Prisoner of Azkaban is the third book."
"The Portkey","What magical object is used to transport Harry to the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","The Prisoner of Azkaban","The Prophecy","The Quibbler","The Portkey","The Portkey is used for transportation to the tournament."
"The Philosopher's Stone","What magical object is sought by Voldemort to regain his full strength in 'Harry Potter and the Philosopher's Stone'?","Harry Potter","The Invisibility Cloak","The King's Cross","The Knight Bus","The Philosopher's Stone","The Philosopher's Stone is a sought-after object."
"The Order of the Phoenix","What secret organization is led by Albus Dumbledore to fight against Voldemort's forces?","Harry Potter","The Philosopher's Stone","The Invisibility Cloak","The King's Cross","The Order of the Phoenix","The Order of the Phoenix opposes Voldemort."
"The Mirror of Erised","What enchanted mirror shows the deepest desires of the heart?","Harry Potter","The Order of the Phoenix","The Philosopher's Stone","The Invisibility Cloak","The Mirror of Erised","The Mirror of Erised reveals desires."
"The Lost Diadem of Ravenclaw","What item from Hogwarts is turned into a Horcrux by Voldemort in 'Harry Potter and the Deathly Hallows'?","Harry Potter","The Marauder's Map","The Mirror of Erised","The Order of the Phoenix","The Lost Diadem of Ravenclaw","The Lost Diadem of Ravenclaw becomes a Horcrux."
"The Locket Horcrux","Which object serves as one of Voldemort's Horcruxes and is worn by Dolores Umbridge in 'Harry Potter and the Deathly Hallows'?","Harry Potter","The Lost Diadem of Ravenclaw","The Marauder's Map","The Mirror of Erised","The Locket Horcrux","The Locket Horcrux is worn by Umbridge."
"The Leaky Cauldron","What is the name of the pub in London that serves as the gateway to Diagon Alley?","Harry Potter","The Locket Horcrux","The Lost Diadem of Ravenclaw","The Marauder's Map","The Leaky Cauldron","The Leaky Cauldron is the entrance to Diagon Alley."
"The Knight Bus","What is the name of the magical bus that transports witches and wizards in emergencies?","Harry Potter","The Leaky Cauldron","The Locket Horcrux","The Lost Diadem of Ravenclaw","The Knight Bus","The Knight Bus provides emergency transportation."
"The Invisibility Cloak","What magical item allows the wearer to become invisible?","Harry Potter","The King's Cross","The Knight Bus","The Leaky Cauldron","The Invisibility Cloak","The Invisibility Cloak grants invisibility."
"The Inquisitorial Squad","What is the name of the group of students appointed by Dolores Umbridge to assist in enforcing rules at Hogwarts in 'Harry Potter and the Order of the Phoenix'?","Harry Potter","The Half-Blood Prince","The Hall of Prophecy","Buckbeak","The Inquisitorial Squad","The Inquisitorial Squad assists Umbridge in enforcing."
"The Hungarian Horntail","In 'Harry Potter and the Goblet of Fire,' which dragon does Harry face during the Triwizard Tournament's first task at the Triwizard Cup competition?","Harry Potter","The Swedish Short-Snout","The Norwegian Ridgeback","The Chinese Fireball","The Hungarian Horntail","Harry faces the Hungarian Horntail in the Dragon Challenge."
"Hungarian Horntail","Which dragon species is used as a task for the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Inquisitorial Squad","Half-Blood Prince","Hall of Prophecy","The Hungarian Horntail","The Hungarian Horntail is one of the Triwizard Tournament tasks."
"Horcruxes","What are the objects in which Voldemort splits his soul to achieve immortality?","Harry Potter","Hungarian Horntail","Inquisitorial Squad","Half-Blood Prince","The Horcruxes","Voldemort creates Horcruxes to achieve immortality."
"Hogwarts Express","What is the name of the train that takes students to Hogwarts School of Witchcraft and Wizardry?","Harry Potter","Horcruxes","Hungarian Horntail","Inquisitorial Squad","The Hogwarts Express","The Hogwarts Express is the train to Hogwarts."
"Hall of Prophecy","Which location in the Ministry of Magic is central to the plot of 'Harry Potter and the Order of the Phoenix'?","Harry Potter","Buckbeak","Hogwarts Express","Horcruxes","The Hall of Prophecy","The Hall of Prophecy is central to the plot in that book."
"Half-Blood Prince's Potion Book","What is the nickname given to Severus Snape's potion book in 'Harry Potter and the Half-Blood Prince'?","Harry Potter","Half-Blood Prince's Secret","Hall of Prophecy","Buckbeak","The Half-Blood Prince's Potion Book","Snape's potion book is known as The Half-Blood Prince's Potion Book."
"Half-Blood Prince's Secret","What is the mysterious identity that Severus Snape hides in 'Harry Potter and the Half-Blood Prince'?","Harry Potter","Hall of Prophecy","Buckbeak","Hogwarts Express","The Half-Blood Prince's Secret","Snape's secret identity is The Half-Blood Prince's Secret."
"Half-Blood Prince","In 'Harry Potter and the Half-Blood Prince,' what is the title of the sixth book in the series?","Harry Potter","Half-Blood Prince's Potion Book","Half-Blood Prince's Secret","Hall of Prophecy","The Half-Blood Prince","The Half-Blood Prince is the title of the sixth book."
"Grim","What is the omen of death that Harry sees in 'Harry Potter and the Prisoner of Azkaban'?","Harry Potter","Deathly Hallows Part 1","Deathly Hallows Part 2","Defeat of Bellatrix Lestrange","The Grim","The Grim is an omen of death in the series."
"Great Hall","What is the main dining area at Hogwarts School of Witchcraft and Wizardry where students have their meals?","Harry Potter","Grim","Deathly Hallows Part 1","Deathly Hallows Part 2","The Great Hall","The Great Hall is where Hogwarts students dine."
"Goblet of Fire","What magical object is used to select the champions for the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Great Hall","Grim","Deathly Hallows Part 1","The Goblet of Fire","The Goblet of Fire is the tournament's selection method."
"Forest Again","In 'Harry Potter and the Deathly Hallows,' where do the trio return to in order to retrieve Rowena Ravenclaw's diadem?","Harry Potter","Goblet of Fire","Great Hall","Grim","The Forest Again","They return to The Forbidden Forest again in the final book."
"Forbidden Forest","Where do Harry, Hermione, and Ron encounter many dangerous creatures and events?","Harry Potter","Forest Again","Goblet of Fire","Great Hall","The Forbidden Forest","The Forbidden Forest is filled with danger and mystery."
"Elder Wand","Which legendary wand is considered one of the Deathly Hallows and is a symbol of power?","Harry Potter","Execution of Buckbeak","Fall of Voldemort","First Task","The Elder Wand","The Elder Wand is a powerful magical artifact."
"Dursleys","Who are Harry Potter's non-magical relatives who raised him after the death of his parents?","Harry Potter","Elder Wand","Execution of Buckbeak","Fall of Voldemort","Dursleys (Vernon, Petunia, Dudley)","The Dursleys raised Harry in his early years."
"Diadem Horcrux","Which object serves as one of Voldemort's Horcruxes and is hidden in the Room of Requirement?","Harry Potter","Author of the wizarding book A History of Magic?","Elder Wand","Execution of Buckbeak","The Diadem Horcrux","The Diadem Horcrux is hidden in the Room of Requirement."
"Department of Mysteries","In 'Harry Potter and the Order of the Phoenix,' where does the climactic battle take place?","Harry Potter","Diadem Horcrux","Dursleys (Vernon, Petunia, Dudley)","Elder Wand","The Department of Mysteries","The battle takes place in The Department of Mysteries."
"Death Eaters","Who are Voldemort's loyal and dark-following followers?","Harry Potter","St. Mungo's Hospital for Magical Maladies and Injuries","Astronomy Tower","Basilisk","The Death Eaters","The Death Eaters are Voldemort's loyal followers."
"Cup Horcrux","Which object serves as one of Voldemort's Horcruxes and is destroyed by Hermione in 'Harry Potter and the Deathly Hallows'?","Harry Potter","Death Eaters","St. Mungo's Hospital for Magical Maladies and Injuries","Astronomy Tower","The Cup Horcrux","The Cup Horcrux is destroyed by Hermione."
"Cloak of Invisibility","What magical object, passed down through the Peverell family, grants its wearer invisibility?","Harry Potter","Cup Horcrux","Death Eaters","St. Mungo's Hospital for Magical Maladies and Injuries","The Cloak of Invisibility","The Cloak of Invisibility grants invisibility."
"Chamber of Secrets","Which hidden chamber at Hogwarts houses a dangerous serpent and plays a central role in 'Harry Potter and the Chamber of Secrets'?","Harry Potter","Cloak of Invisibility","Cup Horcrux","Death Eaters","The Chamber of Secrets","The Chamber of Secrets is a central plot element."
"Burrow","What is the name of the Weasley family's home, known for its eccentricity and warmth?","Harry Potter","Chamber of Secrets","Cloak of Invisibility","Cup Horcrux","The Burrow","The Burrow is the Weasley family's unique home."
"Black Lake","Where is the second Triwizard Tournament task held in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Burrow","Chamber of Secrets","Cloak of Invisibility","The Black Lake","The Black Lake is the location of the Triwizard task."
"Beauxbatons Academy of Magic","Which foreign wizarding school participates in the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Black Lake","Burrow","Chamber of Secrets","The Beauxbatons Academy of Magic","Beauxbatons is one of the Triwizard Tournament schools."
"Battle of the Seven Potters","What event involves seven Harry Potter decoys created by Polyjuice Potion to protect Harry in 'Harry Potter and the Deathly Hallows'?","Harry Potter","Beauxbatons Academy of Magic","Black Lake","Burrow","The Battle of the Seven Potters","The Battle of the Seven Potters is a key protection plan for Harry."
"Battle of the Astronomy Tower","Where does a tragic battle involving Dumbledore and Death Eaters occur in 'Harry Potter and the Half-Blood Prince'?","Harry Potter","Battle at the Department of Mysteries","Battle in the Room of Requirement","Battle of Hogwarts","The Battle of the Astronomy Tower","The Battle of the Astronomy Tower is a pivotal event."
"Battle of Hogwarts","Which epic battle takes place at Hogwarts in the final book of the Harry Potter series?","Harry Potter","Battle of the Astronomy Tower","Battle at the Department of Mysteries","Battle in the Room of Requirement","The Battle of Hogwarts","The Battle of Hogwarts is a significant conflict in the series."
"Battle at the Ministry of Magic","In 'Harry Potter and the Order of the Phoenix,' where do the Order of the Phoenix and Death Eaters clash in a battle?","Harry Potter","Battle in the Room of Requirement","Battle of Hogwarts","Battle of the Astronomy Tower","The Battle at the Ministry of Magic","The battle at the Ministry of Magic is a key conflict in the story."
"Battle at the Department of Mysteries","Which battle takes place in the Ministry of Magic in 'Harry Potter and the Order of the Phoenix'?","Harry Potter","Battle in the Room of Requirement","Battle of Hogwarts","Battle of the Astronomy Tower","The Battle at the Department of Mysteries","The battle at the Department of Mysteries occurs in the Ministry of Magic."
"Basilisk","What dangerous creature is unleashed in the Chamber of Secrets?","Harry Potter","Battle at the Ministry of Magic","Battle in the Room of Requirement","Battle of Hogwarts","The Basilisk","The Basilisk is a dangerous serpent released from the Chamber of Secrets."
"Astronomy Tower","Which location at Hogwarts plays a significant role in the events of 'Harry Potter and the Half-Blood Prince'?","Harry Potter","Basilisk","Battle at the Ministry of Magic","Battle in the Room of Requirement","The Astronomy Tower","The Astronomy Tower is where a pivotal event occurs."
"Sybill Trelawney","Who is the Divination professor at Hogwarts, known for her eccentric and often inaccurate predictions?","Harry Potter","Dolores Umbridge","Albus Dumbledore","Filius Flitwick","Sybill Trelawney","Sybill Trelawney teaches Divination."
"Stupefy","Which spell is used to stun and temporarily incapacitate the target?","Harry Potter","Expulso","Protego","Avada Kedavra","Stupefy","The Stupefy spell is used to stun and temporarily incapacitate the target."
"St. Mungo's Hospital for Magical Maladies and Injuries","Where can witches and wizards go for medical treatment?","Harry Potter","Astronomy Tower","Basilisk","Battle at the Department of Mysteries","St. Mungo's Hospital for Magical Maladies and Injuries","St. Mungo's is the wizarding hospital for magical ailments."
"Slytherin House","Which Hogwarts house values ambition, cunning, and resourcefulness?","Harry Potter","Moody's Magical Eye","Quidditch World Cup","Ravenclaw House","Slytherin House","Slytherin is one of the four houses at Hogwarts."
"Sirius Black","Who is Harry Potter's godfather and a member of the Order of the Phoenix?","Harry Potter","Sirius Black's Escape from Azkaban","Slytherin House","Moody's Magical Eye","Sirius Black","Sirius Black is Harry's godfather and an important character."
"Shell Cottage","What is the name of the seaside home where Bill and Fleur Weasley reside?","Harry Potter","Sirius Black","Sirius Black's Escape from Azkaban","Slytherin House","Shell Cottage","Shell Cottage is the Weasley family's residence."
"Severus Snape","Who is the Potions Master, head of Slytherin House, and a complex character with a dark past?","Harry Potter","Shell Cottage","Sirius Black","Sirius Black's Escape from Azkaban","Severus Snape","Severus Snape is a complex character with a significant role."
"Scabbers","What is the nickname of Ron Weasley's pet rat, who is later revealed to be an Animagus?","Harry Potter","Severus Snape","Shell Cottage","Sirius Black","Scabbers","Scabbers is the nickname of Ron's pet rat."
"Salazar Slytherin's Locket","Which valuable magical object is turned into a Horcrux by Voldemort?","Harry Potter","Scabbers","Severus Snape","Shell Cottage","Salazar Slytherin's Locket","Salazar Slytherin's locket is turned into a Horcrux."
"Rubeus Hagrid","Who is the gamekeeper and Keeper of Keys and Grounds at Hogwarts School of Witchcraft and Wizardry?","Harry Potter","Rubeus Hagrid","Harry Potter","Hedwig","Helga Hufflepuff's Cup","Rubeus Hagrid is the gamekeeper at Hogwarts."
"Rowena Ravenclaw's Diadem","Which lost relic of Rowena Ravenclaw is used as a Horcrux by Voldemort?","Harry Potter","Salazar Slytherin's Locket","Scabbers","Severus Snape","Rowena Ravenclaw's Diadem","The diadem of Rowena Ravenclaw is a Horcrux."
"Room of Requirement","What magical room within Hogwarts School of Witchcraft and Wizardry can transform into whatever the person seeking it needs at the moment?","Harry Potter","Vernon Dursley","Petunia Dursley","Dudley Dursley","Room of Requirement","The Room of Requirement is a versatile magical space."
"Ron Weasley","Who is one of Harry Potter's best friends and a member of the Weasley family?","Harry Potter","Rowena Ravenclaw's Diadem","Salazar Slytherin's Locket","Scabbers","Ron Weasley","Ron Weasley is a close friend and loyal companion of Harry."
"Rita Skeeter","Who is a sensationalist journalist and an unregistered Animagus?","Harry Potter","Ron Weasley","Rowena Ravenclaw's Diadem","Salazar Slytherin's Locket","Rita Skeeter","Rita Skeeter is known for her sensationalist journalism."
"Riddikulus","Which spell is used to transform a Boggart into something amusing?","Harry Potter","Accio","Lumos","Nox","Riddikulus","The Riddikulus spell is used to turn a Boggart, a creature that takes the form of one's greatest fear, into something humorous."
"Remus Lupin","Who is a former Defense Against the Dark Arts teacher and a skilled werewolf?","Harry Potter","Minerva McGonagall","Alastor Moody","Quirinus Quirrell","Remus Lupin","Remus Lupin is a former DADA teacher and a werewolf."
"Reducto","Which spell is used to reduce the size of the target or disintegrate objects?","Harry Potter","Imperio","Crucio","Expelliarmus","Reducto","The Reducto spell is used to reduce the size of the target or disintegrate objects."
"Ravenclaw House","Which Hogwarts house values intelligence, creativity, and wisdom?","Harry Potter","Remus Lupin","Rita Skeeter","Ron Weasley","Ravenclaw House","Ravenclaw is one of the four houses at Hogwarts."
"Quirinus Quirrell","Which epic battle takes place at Hogwarts in the final book?","Harry Potter","Horace Slughorn","Severus Snape","Pomona Sprout","Quirinus Quirrell","Quirinus Quirrell serves as DADA teacher in the first book."
"Quidditch World Cup","Which major international Quidditch sporting event is held every four years?","Harry Potter","Ravenclaw House","Remus Lupin","Rita Skeeter","Quidditch World Cup","The Quidditch World Cup is a major sporting event in the wizarding world."
"Protego","Which spell is used to create a magical barrier to deflect spells and physical attacks?","Harry Potter","Expulso","Reducto","Stupefy","Protego","The Protego spell creates a magical barrier to deflect spells and physical attacks."
"Pomona Sprout","Who is the Herbology professor and head of Hufflepuff House at Hogwarts?","Harry Potter","Sybill Trelawney","Dolores Umbridge","Albus Dumbledore","Pomona Sprout","Pomona Sprout is the Herbology professor."
"Platform 9¾","What is the magical platform at King's Cross Station that serves as the entrance to the Hogwarts Express?","Harry Potter","Narcissa Black","Narcissa Malfoy","Nearly Headless Nick","Platform 9¾","Platform 9¾ is the entrance to the Hogwarts Express at King's Cross Station."
"Petunia Dursley","Who is Harry Potter's aunt and the sister of Harry's mother, Lily Potter?","Harry Potter","Dudley Dursley","Room of Requirement","Vernon Dursley","Petunia Dursley","Petunia Dursley is Harry's aunt."
"Peter Pettigrew","Who is a former friend of James Potter and a traitor who betrayed the Potters to Voldemort?","Harry Potter","Platform 9¾","Narcissa Black","Narcissa Malfoy","Peter Pettigrew","Peter Pettigrew is a former friend who betrayed the Potters."
"Percy Weasley","Who is the third eldest Weasley sibling, known for his studious and rule-abiding nature?","Harry Potter","Peter Pettigrew","Platform 9¾","Narcissa Black","Percy Weasley","Percy Weasley is a member of the Weasley family."
"Peeves the Poltergeist","Who is a mischievous and troublesome poltergeist who causes chaos at Hogwarts?","Harry Potter","Percy Weasley","Peter Pettigrew","Platform 9¾","Peeves the Poltergeist","Peeves is a troublesome poltergeist at Hogwarts."
"Olympe Maxime","Who is the headmistress of Beauxbatons Academy of Magic and a half-giant?","Harry Potter","Peeves the Poltergeist","Percy Weasley","Peter Pettigrew","Olympe Maxime","Olympe Maxime is a half-giant and headmistress at Beauxbatons."
"Ollivanders Wand Shop","What is the name of the wand shop in Diagon Alley, known for selling a wide range of magical wands?","Harry Potter","Olympe Maxime","Peeves the Poltergeist","Percy Weasley","Ollivanders Wand Shop","Ollivanders is a renowned wand shop in Diagon Alley."
"Oliver Wood","Who is the captain and keeper of the Gryffindor Quidditch team?","Harry Potter","Ollivanders Wand Shop","Olympe Maxime","Peeves the Poltergeist","Oliver Wood","Oliver Wood serves as the captain and keeper for Gryffindor's Quidditch team."
"Nymphadora Tonks","Who is a Metamorphmagus and an Auror, known for her ability to change her appearance at will?","Harry Potter","Oliver Wood","Ollivanders Wand Shop","Olympe Maxime","Nymphadora Tonks","Nymphadora Tonks is a skilled Auror and Metamorphmagus."
"Nox","Which spell is used to extinguish the light at the tip of the wand?","Harry Potter","Protego","Expelliarmus","Lumos","Nox","The Nox spell is used to extinguish the light created by the Lumos spell."
"Neville Longbottom","Who is a courageous and determined Gryffindor student, known for his bravery?","Harry Potter","Nymphadora Tonks","Oliver Wood","Ollivanders Wand Shop","Neville Longbottom","Neville Longbottom is a brave Gryffindor."
"Nearly Headless Nick","What is the nickname of Sir Nicholas de Mimsy-Porpington, a ghost who is nearly beheaded?","Harry Potter","Neville Longbottom","Nymphadora Tonks","Oliver Wood","Nearly Headless Nick","Nearly Headless Nick is a ghost with a nearly beheaded appearance."
"Narcissa Malfoy","Who is the mother of Draco Malfoy and the wife of Lucius Malfoy?","Harry Potter","Nearly Headless Nick","Neville Longbottom","Nymphadora Tonks","Narcissa Malfoy","Narcissa Malfoy is Draco's mother and Lucius's wife."
"Nagini","What is the name of Voldemort's snake, which is also one of his Horcruxes,?","Harry Potter","Narcissa Black","Narcissa Malfoy","Nearly Headless Nick","Nagini","Nagini is the name of Voldemort's snake, which becomes a Horcrux."
"Molly Weasley","Who is the mother of the Weasley family and known for her loving and protective nature?","Harry Potter","Moodys Magical Eye","Honeydukes","Horace Slughorn","Molly Weasley","Molly Weasley is the caring mother of the Weasley siblings."
"Moaning Myrtle","Who is a ghost haunting the girls' bathroom on the second floor of Hogwarts and known for her sorrowful and ghostly demeanor?","Harry Potter","Molly Weasley","Moodys Magical Eye","Honeydukes","Moaning Myrtle","Moaning Myrtle is a ghost at Hogwarts."
"Minerva McGonagall","Who is the Deputy Headmistress, Transfiguration professor, and head of Gryffindor House at Hogwarts?","Harry Potter","Alastor Moody","Quirinus Quirrell","Horace Slughorn","Minerva McGonagall","Minerva McGonagall holds several important positions at Hogwarts."
"Marvolo Gaunts Ring","Which object is one of Voldemort's Horcruxes, and is destroyed using a basilisk fang?","Harry Potter","Moaning Myrtle","Molly Weasley","Moodys Magical Eye","Marvolo Gaunts Ring","Marvolo Gaunts Ring is one of Voldemort's Horcruxes."
"Malfoy Manor","What is the name of the Malfoy family's ancestral home, where significant events occur?","Harry Potter","Marvolo Gaunts Ring","Moaning Myrtle","Molly Weasley","Malfoy Manor","Malfoy Manor is the ancestral home of the Malfoy family."
"Madam Pomfrey","Who is the Hogwarts matron and responsible for tending to the injuries and illnesses of students?","Harry Potter","Malfoy Manor","Marvolo Gaunts Ring","Moaning Myrtle","Madam Pomfrey","Madam Pomfrey serves as the matron at Hogwarts."
"Mad-Eye Moody","Who is a famous Auror and a member of the Order of the Phoenix, known for his magical eye?","Harry Potter","Madam Pomfrey","Malfoy Manor","Marvolo Gaunts Ring","Mad-Eye Moody","Mad-Eye Moody is a skilled Auror with a magical eye."
"Luna Lovegood","Who is known for her dreamy and eccentric personality, and is a member of Dumbledore's Army?","Harry Potter","Mad-Eye Moody","Madam Pomfrey","Malfoy Manor","Luna Lovegood","Luna Lovegood is known for her unique personality and involvement in Dumbledore's Army."
"Lumos","Which spell is used to create light at the tip of the caster's wand?","Harry Potter","Accio","Nox","Stupefy","Lumos","The Lumos spell creates light at the tip of the caster's wand for illumination."
