"answer","option1","option2","option3","subject","question","explanation"
"The Jedi Council","Emperor Palpatine","Jabba the Hutt","Lando Calrissian","Star Wars","What is the governing body of Jedi Knights and Masters in the Star Wars universe?","The Jedi Council is the governing body of Jedi Knights and Masters in the Star Wars universe."
"Emperor Palpatine","Anakin Skywalker","Padmé Amidala","Darth Vader","Star Wars","Who is the Sith Lord and Emperor who manipulated Anakin Skywalker to the dark side?","Emperor Palpatine is the Sith Lord and Emperor who manipulated Anakin Skywalker to the dark side."
"Anakin Skywalker","Emperor Palpatine","Padmé Amidala","Grand Moff Tarkin","Star Wars","Who is the Jedi Knight who becomes Darth Vader after falling to the dark side?","Anakin Skywalker is the Jedi Knight who becomes Darth Vader after falling to the dark side."
"Padmé Amidala","Anakin Skywalker","Emperor Palpatine","Grand Moff Tarkin","Star Wars","Who is the former Queen of Naboo and the love interest of Anakin Skywalker?","Padmé Amidala is the former Queen of Naboo and the love interest of Anakin Skywalker."
"Grand Moff Tarkin","Anakin Skywalker","Emperor Palpatine","Padmé Amidala","Star Wars","Who is the Imperial officer in charge of the Death Star in the original Star Wars film?","Grand Moff Tarkin is the Imperial officer in charge of the Death Star in the original Star Wars film."
"Lando Calrissian","Anakin Skywalker","Emperor Palpatine","Padmé Amidala","Star Wars","Who is the suave gambler and owner of Cloud City in 'The Empire Strikes Back'?","Lando Calrissian is the suave gambler and owner of Cloud City in 'The Empire Strikes Back'."
"Boba Fett","Anakin Skywalker","Emperor Palpatine","Padmé Amidala","Star Wars","Who is the notorious bounty hunter with Mandalorian armor who captures Han Solo?","Boba Fett is the notorious bounty hunter with Mandalorian armor who captures Han Solo."
"Stormtroopers","TIE Fighter","X-wing","Rancor","Star Wars","What are the soldiers of the Galactic Empire known for their white armor and blasters?","Stormtroopers are the soldiers of the Galactic Empire known for their white armor and blasters."
"X-wing","Rancor","Bacta Tank","TIE Fighter","Star Wars","What type of starfighter is commonly used by the Rebel Alliance with distinctive X-shaped wings?","The X-wing is a type of starfighter commonly used by the Rebel Alliance with distinctive X-shaped wings."
"TIE Fighter","Rancor","Bacta Tank","X-wing","Star Wars","What type of starfighter is primarily used by the Galactic Empire with twin ion engines?","The TIE Fighter is a type of starfighter primarily used by the Galactic Empire with twin ion engines."
"Rancor","TIE Fighter","Bacta Tank","X-wing","Star Wars","What is the name of the large, carnivorous creature kept in Jabba the Hutt's palace?","The Rancor is the name of the large, carnivorous creature kept in Jabba the Hutt's palace."
"Bacta Tank","TIE Fighter","X-wing","Rancor","Star Wars","What medical device is used for healing injuries and is seen in 'The Empire Strikes Back'?","A Bacta Tank is a medical device used for healing injuries and is seen in 'The Empire Strikes Back'."
"AT-AT Walker","TIE Fighter","X-wing","Rancor","Star Wars","What is the four-legged Imperial walker used in the Battle of Hoth?","The AT-AT Walker is the four-legged Imperial walker used in the Battle of Hoth."
"Rebel Alliance","TIE Fighter","X-wing","Rancor","Star Wars","What is the organized group that opposes the Galactic Empire in the Star Wars universe?","The Rebel Alliance is the organized group that opposes the Galactic Empire in the Star Wars universe."
"Galactic Empire","TIE Fighter","X-wing","Rancor","Star Wars","What is the authoritarian regime ruled by Emperor Palpatine and Darth Vader in the Star Wars universe?","The Galactic Empire is the authoritarian regime ruled by Emperor Palpatine and Darth Vader in the Star Wars universe."
"Jedi Temple","TIE Fighter","X-wing","Rancor","Star Wars","What is the sacred Jedi training and meditation center on Coruscant?","The Jedi Temple is the sacred Jedi training and meditation center on Coruscant."
"Clone Troopers","TIE Fighter","X-wing","Rancor","Star Wars","What are the genetically engineered soldiers created for the Galactic Republic?","Clone Troopers are the genetically engineered soldiers created for the Galactic Republic."
"Slave I","TIE Fighter","X-wing","Rancor","Star Wars","What is the name of Boba Fett's ship, which is also his personal starship?","Slave I is the name of Boba Fett's ship, which is also his personal starship."
"Mos Eisley Cantina","TIE Fighter","X-wing","Rancor","Star Wars","What is the infamous cantina on Tatooine where Luke and Obi-Wan meet Han Solo and Chewbacca?","The Mos Eisley Cantina is the infamous cantina on Tatooine where Luke and Obi-Wan meet Han Solo and Chewbacca."
"Endor Forest","TIE Fighter","X-wing","Rancor","Star Wars","What is the forested moon where the Rebel Alliance confronts the Empire in 'Return of the Jedi'?","The Endor Forest is the forested moon where the Rebel Alliance confronts the Empire in 'Return of the Jedi'."
"Carbonite Freezing","Dagobah","Kashyyyk","Force Ghosts","Star Wars","What process is used to encase Han Solo in 'The Empire Strikes Back'?","Carbonite Freezing is the process used to encase Han Solo in 'The Empire Strikes Back'."
"Force Ghosts","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What are the apparitions of deceased Jedi who can communicate with the living?","Force Ghosts are the apparitions of deceased Jedi who can communicate with the living."
"Dagobah","Carbonite Freezing","Naboo","Kashyyyk","Star Wars","On which remote planet does Yoda live in exile and train Luke Skywalker in 'The Empire Strikes Back'?","Dagobah is the remote planet where Yoda lives in exile and trains Luke Skywalker in 'The Empire Strikes Back'."
"Kashyyyk","Dagobah","Carbonite Freezing","Naboo","Star Wars","What is the homeworld of the Wookiees, including Chewbacca?","Kashyyyk is the homeworld of the Wookiees, including Chewbacca."
"Naboo","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Which planet is the home of Padmé Amidala and Emperor Palpatine in the prequel trilogy?","Naboo is the planet that is the home of Padmé Amidala and Emperor Palpatine in the prequel trilogy."
"Mustafar","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","On which fiery and volcanic planet does Anakin Skywalker have his fateful duel with Obi-Wan Kenobi?","Mustafar is the fiery and volcanic planet where Anakin Skywalker has his fateful duel with Obi-Wan Kenobi."
"Coruscant","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the bustling city-covered planet that serves as the capital of the Galactic Republic and later the Galactic Empire?","Coruscant is the bustling city-covered planet that serves as the capital of the Galactic Republic and later the Galactic Empire."
"Geonosis","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Where does the first battle between the Jedi and the Separatists take place in 'Attack of the Clones'?","The first battle between the Jedi and the Separatists takes place on Geonosis in 'Attack of the Clones'."
"Kessel Run","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the famous hyperspace route known for its dangers and smuggler lore?","The Kessel Run is the famous hyperspace route known for its dangers and smuggler lore."
"The Krayt Dragon","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the massive, carnivorous creature found on Tatooine in 'A New Hope'?","The Krayt Dragon is the massive, carnivorous creature found on Tatooine in 'A New Hope'."
"Bespin","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Which gas giant is the location of Cloud City, where Han Solo is frozen in carbonite?","Bespin is the gas giant that is the location of Cloud City, where Han Solo is frozen in carbonite."
"Mon Mothma","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Who is the leader of the Rebel Alliance and later the New Republic in the original Star Wars trilogy?","Mon Mothma is the leader of the Rebel Alliance and later the New Republic in the original Star Wars trilogy."
"General Ackbar","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Who is the Mon Calamari admiral known for the line 'It's a trap!'in 'Return of the Jedi'?","General Ackbar is the Mon Calamari admiral known for the line 'It's a trap!'in 'Return of the Jedi'."
"Ewoks","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What are the small, furry inhabitants of the forest moon of Endor who aid the Rebel Alliance?","Ewoks are the small, furry inhabitants of the forest moon of Endor who aid the Rebel Alliance."
"Kylo Ren","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","Who is the antagonist in the sequel trilogy, also known as Ben Solo?","Kylo Ren is the antagonist in the sequel trilogy, also known as Ben Solo."
"BB-8","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the astromech droid that accompanies Rey in the sequel trilogy?","BB-8 is the astromech droid that accompanies Rey in the sequel trilogy."
"Porgs","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What are the small, penguin-like creatures native to Ahch-To, seen in 'The Last Jedi'?","Porgs are the small, penguin-like creatures native to Ahch-To, seen in 'The Last Jedi'."
"Sarlacc Pit","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the creature in the Great Pit of Carkoon on Tatooine that swallows victims and digests them over a thousand years?","The Sarlacc Pit is the creature in the Great Pit of Carkoon on Tatooine that swallows victims and digests them over a thousand years."
"Trade Federation","Dagobah","Carbonite Freezing","Kashyyyk","Star Wars","What is the powerful, trade-oriented organization that blockades Naboo in 'The Phantom Menace'?","The Trade Federation is the powerful, trade-oriented organization that blockades Naboo in 'The Phantom Menace'."
"Sith Temple","Poe Dameron","Finn","Rey","Star Wars","What is the hidden location where the Sith practiced their dark arts and rituals?","The Sith Temple is the hidden location where the Sith practiced their dark arts and rituals."
"Rey","Poe Dameron","Finn","Supreme Leader Snoke","Star Wars","Who is the main protagonist of the sequel trilogy, known for her strong connection to the Force?","Rey is the main protagonist of the sequel trilogy, known for her strong connection to the Force."
"Finn","Poe Dameron","Resistance","Supreme Leader Snoke","Star Wars","Which character defects from the First Order and joins the Resistance in the sequel trilogy?","Finn is the character who defects from the First Order and joins the Resistance in the sequel trilogy."
"Poe Dameron","Jakku","Resistance","Supreme Leader Snoke","Star Wars","Who is the skilled pilot and member of the Resistance who flies the T-70 X-wing starfighter in the sequel trilogy?","Poe Dameron is the skilled pilot and member of the Resistance who flies the T-70 X-wing starfighter in the sequel trilogy."
"Supreme Leader Snoke","Starkiller Base","Jakku","Resistance","Star Wars","Who is the mysterious and powerful leader of the First Order in the sequel trilogy?","Supreme Leader Snoke is the mysterious and powerful leader of the First Order in the sequel trilogy."
"Resistance","Starkiller Base","Jakku","Rogue One","Star Wars","What is the organized military force that opposes the First Order in the sequel trilogy?","Resistance is the organized military force that opposes the First Order in the sequel trilogy."
"Jakku","Starkiller Base","Galactic Senate","Rogue One","Star Wars","On which desert planet does Rey's journey begin in the sequel trilogy?","Jakku is the desert planet where Rey's journey begins in the sequel trilogy."
"Starkiller Base","Galactic Senate","Count Dooku","Rogue One","Star Wars","What is the First Order's superweapon capable of destroying entire star systems in the sequel trilogy?","Starkiller Base is the First Order's superweapon capable of destroying entire star systems in the sequel trilogy."
"Rogue One","Galactic Senate","Count Dooku","General Grievous","Star Wars","Which standalone Star Wars film focuses on the mission to steal the Death Star plans?","Rogue One is the standalone Star Wars film that focuses on the mission to steal the Death Star plans."
"Jyn Erso","Galactic Senate","Count Dooku","General Grievous","Star Wars","Who is the central character in 'Rogue One', leading the mission to steal the Death Star plans?","Jyn Erso is the central character in 'Rogue One'. leading the mission to steal the Death Star plans."
"Cassian Andor","Galactic Senate","Count Dooku","General Grievous","Star Wars","Who is the Rebel Alliance intelligence officer who works alongside Jyn Erso in 'Rogue One'?","Cassian Andor is the Rebel Alliance intelligence officer who works alongside Jyn Erso in 'Rogue One'."
"Scarif","Galactic Senate","Count Dooku","General Grievous","Star Wars","What is the tropical planet where the final battle to steal the Death Star plans takes place in 'Rogue One'?","Scarif is the tropical planet where the final battle to steal the Death Star plans takes place in 'Rogue One'."
"Galactic Senate","General Grievous","Count Dooku","Naboo Starfighter","Star Wars","What is the governing body of the Galactic Republic before it becomes the Galactic Empire in the prequel trilogy?","The Galactic Senate is the governing body of the Galactic Republic before it becomes the Galactic Empire in the prequel trilogy."
"Count Dooku","General Grievous","Qui-Gon Jinn","Naboo Starfighter","Star Wars","Who is the Sith Lord and former Jedi Master who becomes a central antagonist in the prequel trilogy?","Count Dooku is the Sith Lord and former Jedi Master who becomes a central antagonist in the prequel trilogy."
"General Grievous","Kamino","Qui-Gon Jinn","Naboo Starfighter","Star Wars","Who is the cyborg military leader of the Separatist Alliance known for collecting lightsabers in the prequel trilogy?","General Grievous is the cyborg military leader of the Separatist Alliance known for collecting lightsabers in the prequel trilogy."
"Naboo Starfighter","Qui-Gon Jinn","Shmi Skywalker","Kamino","Star Wars","What type of starfighter is used by the Naboo Royal Space Fighter Corps in 'The Phantom Menace'?","The Naboo Starfighter is used by the Naboo Royal Space Fighter Corps in 'The Phantom Menace'."
"Qui-Gon Jinn","Sith Temple","Shmi Skywalker","Kamino","Star Wars","Who is the Jedi Master who discovers Anakin Skywalker and believes he is the Chosen One in 'The Phantom Menace'?","Qui-Gon Jinn is the Jedi Master who discovers Anakin Skywalker and believes he is the Chosen One in 'The Phantom Menace'."
"Kamino","Rey","Sith Temple","Shmi Skywalker","Star Wars","What is the rainy and ocean-covered planet where the Clone Army is created in 'Attack of the Clones'?","Kamino is the rainy and ocean-covered planet where the Clone Army is created in 'Attack of the Clones'."
"Shmi Skywalker","Sith Temple","Finn","Rey","Star Wars","Who is the mother of Anakin Skywalker in 'The Phantom Menace'?","Shmi Skywalker is the mother of Anakin Skywalker in 'The Phantom Menace'."
"Podracing on Tatooine","Force Lightning","Bounty Hunters","Boonta Eve Classic","Star Wars","What dangerous and exhilarating sport takes place on the desert planet Tatooine?","Podracing on Tatooine is the dangerous and exhilarating sport that takes place on the desert planet Tatooine."
"Boonta Eve Classic","Jedi Holocron","Force Lightning","Bounty Hunters","Star Wars","What is the most famous podracing event on Tatooine that Anakin Skywalker participates in?","The Boonta Eve Classic is the most famous podracing event on Tatooine that Anakin Skywalker participates in."
"Force Lightning","Jedi Holocron","The Mandalorian","Bounty Hunters","Star Wars","What is the powerful and destructive ability used by Sith Lords to project deadly electrical energy from their fingertips?","Force Lightning is the powerful and destructive ability used by Sith Lords to project deadly electrical energy from their fingertips."
"Bounty Hunters","Jedi Holocron","The Mandalorian","Din Djarin","Star Wars","Who are the individuals often hired to track down and capture or eliminate targets in the Star Wars universe?","Bounty Hunters are the individuals often hired to track down and capture or eliminate targets in the Star Wars universe."
"Jedi Holocron","The Mandalorian","Din Djarin","Grogu","Star Wars","What is a data-storage device used by the Jedi to preserve knowledge and teachings in a holographic form?","A Jedi Holocron is a data-storage device used by the Jedi to preserve knowledge and teachings in a holographic form."
"The Mandalorian","Din Djarin","Ahsoka Tano","Grogu","Star Wars","Who is the protagonist of the Star Wars TV series set in the Outer Rim, known for wearing Mandalorian armor?","The Mandalorian is the protagonist of the Star Wars TV series set in the Outer Rim, known for wearing Mandalorian armor."
"Din Djarin","Bo-Katan Kryze","Ahsoka Tano","Grogu","Star Wars","What is the real name of the Mandalorian character often referred to as 'Mando'?","Din Djarin is the real name of the Mandalorian character often referred to as 'Mando'."
"Grogu","Bo-Katan Kryze","Dark Saber","Ahsoka Tano","Star Wars","What is the name of the Force-sensitive child that the Mandalorian protects and cares for in the TV series?","Grogu is the name of the Force-sensitive child that the Mandalorian protects and cares for in the TV series."
"Ahsoka Tano","Bo-Katan Kryze","Dark Saber","Mandalore","Star Wars","Who is the former Jedi Padawan of Anakin Skywalker and a skilled Force user with a white lightsaber?","Ahsoka Tano is the former Jedi Padawan of Anakin Skywalker and a skilled Force user with a white lightsaber."
"Bo-Katan Kryze","Mandalore","Clone Wars","Dark Saber","Star Wars","Who is the Mandalorian warrior and leader of the Nite Owls known for her quest to reclaim the Darksaber and rule Mandalore?","Bo-Katan Kryze is the Mandalorian warrior and leader of the Nite Owls known for her quest to reclaim the Darksaber and rule Mandalore."
"Dark Saber","Mandalore","Order 66","Clone Wars","Star Wars","What is the ancient black-bladed lightsaber that holds great significance in the Mandalorian culture and leadership?","The Dark Saber is the ancient black-bladed lightsaber that holds great significance in the Mandalorian culture and leadership."
"Mandalore","Imperial Star Destroyer","Order 66","Clone Wars","Star Wars","What is the name of the Mandalorian homeworld and the center of Mandalorian society?","Mandalore is the name of the Mandalorian homeworld and the center of Mandalorian society."
"Clone Wars","Imperial Star Destroyer","Order 66","Chess","Star Wars","What is the conflict that spans several years and involves the Republic's clone army battling the Separatist Alliance in the Star Wars prequel era?","The Clone Wars is the conflict that spans several years and involves the Republic's clone army battling the Separatist Alliance in the Star Wars prequel era."
"Order 66","Bowcaster","Imperial Star Destroyer","Chess","Star Wars","What is the directive issued to clone troopers in the Star Wars prequel era to execute Jedi across the galaxy?","Order 66 is the directive issued to clone troopers in the Star Wars prequel era to execute Jedi across the galaxy."
"Imperial Star Destroyer","Bowcaster","Chess","Carbon-Freezing Chamber","Star Wars","What is the imposing and heavily armed capital ship used by the Galactic Empire in the Star Wars universe?","The Imperial Star Destroyer is the imposing and heavily armed capital ship used by the Galactic Empire in the Star Wars universe."
"Chess","Bowcaster","Carbon-Freezing Chamber","Bail Organa","Star Wars","What is the strategic board game often played by characters like Chewbacca and C-3PO in the Star Wars saga?","Chess is the strategic board game often played by characters like Chewbacca and C-3PO in the Star Wars saga."
"Bowcaster","Carbon-Freezing Chamber","Bail Organa","Podracing on Tatooine","Star Wars","What is the powerful Wookiee weapon resembling a crossbow, used by characters like Chewbacca?","The Bowcaster is the powerful Wookiee weapon resembling a crossbow, used by characters like Chewbacca."
"Carbon-Freezing Chamber","Bail Organa","Podracing on Tatooine","Boonta Eve Classic","Star Wars","In which location on Cloud City is Han Solo frozen in carbonite in 'The Empire Strikes Back'?","The Carbon-Freezing Chamber is the location on Cloud City where Han Solo is frozen in carbonite in 'The Empire Strikes Back'."
"Bail Organa","Force Lightning","Podracing on Tatooine","Boonta Eve Classic","Star Wars","Who is the Alderaanian senator and leader in the Rebel Alliance who adopts Leia Organa?","Bail Organa is the Alderaanian senator and leader in the Rebel Alliance who adopts Leia Organa."
"AT-ST Walker","Tauntaun","First Order Stormtroopers","Crait","Star Wars","What type of walker is commonly used by the Galactic Empire in the Star Wars universe?","The AT-ST Walker is commonly used by the Galactic Empire in the Star Wars universe."
"Tauntaun","First Order Stormtroopers","Porg Nests","Crait","Star Wars","What creature is used as a mount by the Rebel Alliance on the ice planet Hoth?","The Tauntaun is used as a mount by the Rebel Alliance on the ice planet Hoth."
"First Order Stormtroopers","Porg Nests","Crait","Maz Kanata","Star Wars","What is the name of the elite soldiers serving the First Order in the Star Wars sequel trilogy?","The First Order Stormtroopers are the elite soldiers serving the First Order in the Star Wars sequel trilogy."
"Crait","Blue Milk","Porg Nests","Maz Kanata","Star Wars","Which mineral-rich planet serves as the location for a climactic battle in 'The Last Jedi'?","Crait is the mineral-rich planet that serves as the location for a climactic battle in 'The Last Jedi'."
"Porg Nests","Thermal Detonator","Blue Milk","Maz Kanata","Star Wars","What are the nests of the adorable, puffin-like creatures seen on Ahch-To in 'The Last Jedi'?","Porg Nests are the nests of the adorable, puffin-like creatures seen on Ahch-To in 'The Last Jedi'."
"Maz Kanata","Thermal Detonator","Blue Milk","Tusken Raiders","Star Wars","Who is the wise and well-connected pirate with a castle on the planet Takodana in 'The Force Awakens'?","Maz Kanata is the wise and well-connected pirate with a castle on the planet Takodana in 'The Force Awakens'."
"Blue Milk","Thermal Detonator","Ewok Village","Tusken Raiders","Star Wars","What iconic Star Wars beverage is famously seen being consumed by Luke Skywalker in 'A New Hope'?","Blue Milk is the iconic Star Wars beverage famously seen being consumed by Luke Skywalker in 'A New Hope'."
"Thermal Detonator","Ewok Village","Tusken Raiders","The Death Star Plans","Star Wars","What explosive device is used by Princess Leia to threaten Jabba the Hutt in 'Return of the Jedi'?","A Thermal Detonator is the explosive device used by Princess Leia to threaten Jabba the Hutt in 'Return of the Jedi'."
"Tusken Raiders","Battle of Geonosis","Ewok Village","The Death Star Plans","Star Wars","What nomadic and often hostile group of desert-dwelling inhabitants are encountered by Anakin Skywalker on Tatooine?","Tusken Raiders are the nomadic and often hostile group of desert-dwelling inhabitants encountered by Anakin Skywalker on Tatooine."
"Ewok Village","Battle of Geonosis","Jedi Temple Archives","The Death Star Plans","Star Wars","What is the treetop settlement inhabited by the Ewok species on the forest moon of Endor?","Ewok Village is the treetop settlement inhabited by the Ewok species on the forest moon of Endor."
"The Death Star Plans","Battle of Geonosis","Kaminoan Cloners","Jedi Temple Archives","Star Wars","What crucial stolen data is hidden in R2-D2 and pursued by the Rebel Alliance in 'A New Hope'?","The Death Star Plans are the crucial stolen data hidden in R2-D2 and pursued by the Rebel Alliance in 'A New Hope'."
"Battle of Geonosis","Republic Gunship","Kaminoan Cloners","Jedi Temple Archives","Star Wars","What is the first large-scale battle of the Clone Wars in 'Attack of the Clones'?","The Battle of Geonosis is the first large-scale battle of the Clone Wars in 'Attack of the Clones'."
"Jedi Temple Archives","Republic Gunship","Kaminoan Cloners","Duel of the Fates","Star Wars","Where is the vast repository of Jedi knowledge and information located on the planet Coruscant?","The Jedi Temple Archives is the vast repository of Jedi knowledge and information located on the planet Coruscant."
"Kaminoan Cloners","Republic Gunship","Darth Maul","Duel of the Fates","Star Wars","Who are the alien scientists responsible for creating the clone army for the Galactic Republic in the Star Wars prequel trilogy?","The Kaminoan Cloners are the alien scientists responsible for creating the clone army for the Galactic Republic in the Star Wars prequel trilogy."
"Republic Gunship","Darth Maul","Duel of the Fates","Podracer Anakin Skywalker","Star Wars","What type of heavily armed and armored airspeeder is commonly used by the Galactic Republic in battle?","The Republic Gunship is the type of heavily armed and armored airspeeder commonly used by the Galactic Republic in battle."
"Duel of the Fates","Darth Maul","Podracer Anakin Skywalker","Geonosian Arena","Star Wars","What epic lightsaber duel occurs in 'The Phantom Menace' between Qui-Gon Jinn, Obi-Wan Kenobi, and Darth Maul?","The Duel of the Fates is the epic lightsaber duel that occurs in 'The Phantom Menace' between Qui-Gon Jinn, Obi-Wan Kenobi, and Darth Maul."
"Darth Maul","AT-ST Walker","Podracer Anakin Skywalker","Geonosian Arena","Star Wars","Who is the Sith Lord known for his double-bladed lightsaber and menacing appearance in 'The Phantom Menace'?","Darth Maul is the Sith Lord known for his double-bladed lightsaber and menacing appearance in 'The Phantom Menace'."
"Podracer Anakin Skywalker","Tauntaun","AT-ST Walker","Geonosian Arena","Star Wars","What exhilarating and dangerous sport does young Anakin Skywalker participate in during 'The Phantom Menace'?","Podracer Anakin Skywalker participates in the exhilarating and dangerous sport of podracing during 'The Phantom Menace'."
"Geonosian Arena","Tauntaun","First Order Stormtroopers","AT-ST Walker","Star Wars","In 'Attack of the Clones', where do Anakin Skywalker, Padmé Amidala, and Obi-Wan Kenobi face deadly creatures in an arena?","In 'Attack of the Clones'. Anakin Skywalker, Padmé Amidala, and Obi-Wan Kenobi face deadly creatures in the Geonosian Arena."
"Master Windu","Wroshyr Trees","Sifo-Dyas","Republic Cruiser","Star Wars","Which Jedi Master leads the Jedi Council in 'Attack of the Clones'?","Master Windu leads the Jedi Council in 'Attack of the Clones'."
"Republic Cruiser","Sebulba","Wroshyr Trees","Sifo-Dyas","Star Wars","What type of starship is used by the Galactic Republic for diplomatic missions in the Star Wars prequel trilogy?","The Republic Cruiser is the type of starship used by the Galactic Republic for diplomatic missions in the Star Wars prequel trilogy."
"Wroshyr Trees","Sebulba","Sifo-Dyas","Senate Chamber","Star Wars","What type of gigantic trees are native to the planet Kashyyyk, the homeworld of the Wookiees?","Wroshyr Trees are the type of gigantic trees native to the planet Kashyyyk, the homeworld of the Wookiees."
"Sifo-Dyas","Solar Sailer","Sebulba","Senate Chamber","Star Wars","Who is the Jedi Master responsible for secretly commissioning the clone army on behalf of the Galactic Republic in 'Attack of the Clones'?","Sifo-Dyas is the Jedi Master responsible for secretly commissioning the clone army on behalf of the Galactic Republic in 'Attack of the Clones'."
"Sebulba","Solar Sailer","Obi-Wan vs. Anakin Duel","Senate Chamber","Star Wars","Which alien podracer is known for his cheating tactics and rivalry with Anakin Skywalker in 'The Phantom Menace'?","Sebulba is the alien podracer known for his cheating tactics and rivalry with Anakin Skywalker in 'The Phantom Menace'."
"Senate Chamber","Solar Sailer","Obi-Wan vs. Anakin Duel","Order 66 Execution","Star Wars","Where in the Galactic Senate building on Coruscant do senators convene to discuss matters of governance in the Star Wars prequel trilogy?","Senators convene in the Senate Chamber of the Galactic Senate building on Coruscant to discuss matters of governance in the Star Wars prequel trilogy."
"Solar Sailer","Mustafarian Lava Flows","Obi-Wan vs. Anakin Duel","Order 66 Execution","Star Wars","What type of starship is used by Count Dooku to escape from Geonosis in 'Attack of the Clones'?","Count Dooku uses a Solar Sailer starship to escape from Geonosis in 'Attack of the Clones'."
