"answer","option1","option2","option3","subject","question","explanation"
"Elendil","Arwen","Frodo's Journal","Smeagol","Lord Of The Rings","Who is the father of Isildur and Anárion and the last High King of Gondor?","Elendil is the father of Isildur and Anárion."
"Elendil's Sword","Isildur's Bane","The Field of Cormallen","The Last Debate","Lord Of The Rings","What is the name of the sword that Aragorn wields, which originally belonged to Elendil, and it is reforged by the Elves and used by Aragorn as the symbol of his claim to the throne of Gondor?","Elendil's Sword is an important weapon."
"Elrond","Radagast the Brown","Eagles","Uruk-hai","Lord Of The Rings","Who is the Lord of Rivendell and plays a key role in the Council of Elrond?","Elrond is the Lord of Rivendell and a key figure in the Council of Elrond."
"Emyn Muil","Goldberry","Forlindon","Fangorn","Lord Of The Rings","What is the name of the rugged and rocky uplands that Frodo and Sam traverse after leaving the Fellowship of the Ring and before encountering Gollum?","Emyn Muil is a challenging terrain."
"Eowyn","Balrog","Saruman","Galadriel","Lord Of The Rings","Who is the brave shieldmaiden of Rohan who disguises herself as a man to fight in the Battle of Pelennor Fields?","Eowyn disguises herself and fights bravely in the Battle of Pelennor Fields."
"Eowyn's Shieldmaiden Armor","Beorn","The Mouth of Sauron","Grima Wormtongue","Lord Of The Rings","What special armor does Éowyn don to disguise herself as a warrior and join the Battle of Pelennor Fields?","Éowyn disguises herself as a warrior with this armor."
"The Sword of Eowyn","The Horn of Helm Hammerhand","Smeagol's Precious","Gimli's Helmet","Lord Of The Rings","What weapon does Eowyn use to defeat the Witch-king of Angmar?","Eowyn uses the Sword of Eowyn."
"Erebor","The Hobbit","The Arkenstone","Dale","Lord Of The Rings","What ancient Dwarf kingdom, also known as the Lonely Mountain, is home to a vast treasure and becomes the focus of the quest?","Erebor is the Lonely Mountain."
"Fangorn Forest","Mordor","Rivendell","Minas Tirith","Lord Of The Rings","What ancient forest is the home of the Ents?","Fangorn Forest is the home of the Ents."
"Fangorn","Gwaihir","Goldberry","Forlindon","Lord Of The Rings","What is the name of the ancient and mysterious forest inhabited by the Ents and their leader Treebeard, where Merry and Pippin find refuge and adventure?","Fangorn is a unique forest in Middle-earth."
"Forlindon","Gwaihir","Harlindon","Goldberry","Lord Of The Rings","What is the name of the coastal region located in the northwest of Middle-earth, where Círdan the Shipwright's Elven haven of the Grey Havens is situated?","Forlindon is a coastal region."
"Lembas Bread","Rohan","Isengard","Grey Havens","Lord Of The Rings","What special Elvish waybread sustains Frodo and Sam during their journey to Mordor?","Frodo and Sam are sustained by Lembas Bread."
"Frodo Baggins","Aragorn","Gandalf","Legolas","Lord Of The Rings","Who is the primary protagonist and Ring-bearer?","Frodo Baggins is the primary protagonist and Ring-bearer in the story."
"Elven Rope","Galadriel's Mirror","Frodo's Mithril Vest","Gimli's Helmet","Lord Of The Rings","What special rope made by the Elves does Frodo carry with him on his journey?","Frodo carries an Elven Rope."
"Mithril Shirt","Rohan","Isengard","Grey Havens","Lord Of The Rings","What precious and lightweight armor does Frodo receive as a gift and wear during his journey?","Frodo receives a Mithril Shirt as a precious and lightweight armor."
"Elven Cloak","Rohan","Isengard","Grey Havens","Lord Of The Rings","What gift does Frodo receive from Galadriel that grants him invisibility?","Frodo receives an Elven Cloak that grants him invisibility."
"Phial of Galadriel","Dori","Nori","Oin","Lord Of The Rings","What source of light does Frodo use in the dark passages of Shelob's Lair?","Frodo uses Galadriel's Phial as a source of light."
"Sting","Boromir's Horn","The Council of Elrond","The Ringwraiths","Lord Of The Rings","What is the name of Frodo's Elvish dagger that glows blue in the presence of orcs and goblins?","Frodo's Elvish dagger is named Sting."
"Galadriel","Balrog","Saruman","Eowyn","Lord Of The Rings","Which powerful and wise elf-lady rules over Lothlórien?","Galadriel rules over Lothlórien."
"Galadriel's Mirror","Elven Rope","Frodo's Mithril Vest","Gimli's Helmet","Lord Of The Rings","What mystical and reflective basin does Galadriel use to show Frodo visions of the past, present, and future?","Galadriel uses a mystical mirror."
"The Mirror of Galadriel","Dori","Nori","Oin","Lord Of The Rings","What mystical object does Galadriel use to show Frodo and Sam visions of past, present, and future events?","Galadriel uses the Mirror of Galadriel."
"Gandalf the White","Gandalf the Grey","Saruman","Galadriel","Lord Of The Rings","What is Gandalf's enhanced title and appearance after his return from death?","Gandalf becomes Gandalf the White after his return from death."
"The Balrog of Moria","Valinor","Ulmo","The Watcher in the Water","Lord Of The Rings","What formidable and fiery demon does Gandalf confront in the depths of Moria?","Gandalf confronts the Balrog in Moria."
"Balrog","Saruman","Eowyn","Galadriel","Lord Of The Rings","What fiery and fearsome creature does Gandalf confront in the Mines of Moria?","Gandalf confronts the Balrog in the Mines of Moria."
"Gandalf the Grey","Gandalf the White","Saruman","Galadriel","Lord Of The Rings","What is the original name and title of the wizard who guides and supports the Fellowship?","Gandalf the Grey is the original name and title of the wizard."
"Gandalf's Staff","The Horn of Helm Hammerhand","Smeagol's Precious","Gimli's Helmet","Lord Of The Rings","What powerful magical staff is wielded by Gandalf the Grey, one of the Istari wizards?","Gandalf wields a powerful staff."
"Glamdring","Orcrist","Ulmo","Sting","Lord Of The Rings","What is the name of Gandalf's sword, which is also known as the Foe-hammer?","Glamdring is Gandalf's sword."
"Glóin","Bofur","The Prancing Pony Innkeeper","Bifur","Lord Of The Rings","Which member of Thorin Oakenshield's company, and father of Gimli, appears?","Glóin is a member of Thorin's company."
"Goldberry","Gwaihir","Harlindon","Hollin","Lord Of The Rings","Who is the enigmatic and ethereal character known as the River-woman's daughter, residing in the house of Tom Bombadil near the Withywindle River?","Goldberry' is associated with Tom Bombadil."
"Gollum","Rivendell","Hobbiton","Minas Tirith","Lord Of The Rings","What is the alternate identity of the character Sméagol after being corrupted by the One Ring?","Gollum is the alternate identity of Sméagol after being corrupted by the One Ring."
"Smeagol's Precious","The Horn of Helm Hammerhand","The Sword of Elendil","Gimli's Helmet","Lord Of The Rings","What term does Gollum often use to refer to the One Ring?","Gollum often calls the One Ring his precious."
"Gondor","Theoden","Boromir","Shelob","Lord Of The Rings","What powerful realm is known as the 'White City' and is under the rule of the Stewards?","Gondor is the 'White City' under the rule of the Stewards."
"Grey Havens","Rohan","Isengard","Mithril Shirt","Lord Of The Rings","What is the port city where elves depart Middle-earth to the Undying Lands?","Grey Havens is the port city where elves depart to the Undying Lands."
"Grima Wormtongue","Eowyn's Shieldmaiden Armor","Beorn","The Mouth of Sauron","Lord Of The Rings","Which advisor to King Théoden is revealed as a spy and agent of Saruman?","Grima Wormtongue is the spy and advisor to King Théoden."
"Gwaihir","Ithilien","Harlindon","Hollin","Lord Of The Rings","What is the name of the Lord of the Eagles, a giant eagle who aids Gandalf and rescues Frodo and Sam from Mount Doom?","Gwaihir' is a majestic eagle."
"Haldir","Shadowfax","Gimli's Axe","Boromir's Horn","Lord Of The Rings","Which Elf of Lothlórien plays a significant role in the defense of Helm's Deep alongside the people of Rohan?","Haldir plays a significant role in the defense of Helm's Deep."
"Harlindon","Ithilien","Hollin","Quickbeam","Lord Of The Rings","What is the name of the coastal region located to the southwest of the Grey Havens, where another Elven haven is situated under the lordship of Círdan?","Harlindon' is part of Elven territories."
"Helms Deep","Rohan","Isengard","Minas Tirith","Lord Of The Rings","Which fortress serves as a crucial defensive point during the Battle of Helm's Deep?","Helms Deep is a crucial defensive point during the Battle of Helm's Deep."
"Hobbiton","Mordor","Rivendell","Minas Tirith","Lord Of The Rings","Which peaceful village is the home of Bilbo and Frodo Baggins?","Hobbiton is the peaceful village where Bilbo and Frodo Baggins live."
"Hollin","Radagast","Ithilien","Quickbeam","Lord Of The Rings","What is the name of the ancient land where the Fellowship of the Ring passes through on their journey to and from Moria, and it is known for its tall standing stones, including the Doors of Durin?","Hollin' is a significant location on the journey."
"Homeward Bound","The Last of the Noldor","The Scouring of the Shire","The Grey Havens","Lord Of The Rings","What chapter describes the journey of the Hobbits as they return to the Shire after their adventures, only to find it changed and in need of their intervention?","Homeward Bound' is a significant chapter."
"Isengard","Rohan","Mithril Shirt","Grey Havens","Lord Of The Rings","What fortress is initially controlled by Saruman the White?","Isengard is initially controlled by Saruman the White."
"Isildur's Bane","Elendil's Sword","The Field of Cormallen","The Last Debate","Lord Of The Rings","What term is used to refer to the One Ring, especially in the context of its corrupting influence and its ability to control those who possess it?","Isildur's Bane' is a significant concept."
"Ithilien","Radagast","Quickbeam","Tharbad","Lord Of The Rings","What is the name of the lush and fertile land located to the east of Gondor, known for its beautiful gardens and the hidden refuge of Henneth Annûn, where Faramir and his Rangers operate?","Ithilien' is a strategically important region."
"Legolas","Aragorn","Frodo Baggins","Gandalf","Lord Of The Rings","Which character is renowned for their archery skills and sharp eyesight?","Legolas is renowned for his archery skills and sharp eyesight."
"Many Partings","Homeward Bound","The Scouring of the Shire","The Grey Havens","Lord Of The Rings","Which chapter focuses on the farewells and departures of various characters as they go their separate ways after the defeat of Sauron?","Many Partings' is a chapter of farewells."
"Melkor","Manwe","Glóin","Bifur","Lord Of The Rings","Who is the fallen Vala also known as Morgoth and the primary antagonist in 'The Silmarillion'?","Melkor is the fallen Vala and primary antagonist in 'The Silmarillion.'"
"Minas Tirith","Mordor","Hobbiton","Rivendell","Lord Of The Rings","What is the capital city of Gondor?","Minas Tirith serves as the capital city of Gondor."
"Mithrandir","Valinor","Narsil","Ulmo","Lord Of The Rings","What is the Elvish name for Gandalf, one of the Istari wizards, in 'The Silmarillion'?","Mithrandir is the Elvish name for Gandalf."
"Mordor","Hobbiton","Rivendell","Minas Tirith","Lord Of The Rings","Which land is the primary stronghold of the Dark Lord Sauron?","Mordor is the primary stronghold of the Dark Lord Sauron."
"Narsil","Valinor","Ulmo","Anduril","Lord Of The Rings","What is the name of the shattered sword of Elendil, which is reforged into a new blade for Aragorn?","Narsil is the shattered sword of Elendil."
"Nazgûl","Many Partings","The Council of Elrond","The Last Alliance of Elves and Men","Lord Of The Rings","What alternative name is given to the Ringwraiths, emphasizing their terrifying nature and allegiance to Sauron?","Nazgûl' is another name for the Ringwraiths."
"Nori","Phial of Galadriel","Dori","Oin","Lord Of The Rings","Among Thorin Oakenshield's company of Dwarves, which one is characterized by his love of mischief and has a reputation for being a thief?","Nori is known for mischief and thieving."
"Oin","Phial of Galadriel","Dori","Nori","Lord Of The Rings","Which member of Thorin Oakenshield's company of Dwarves is known for his expertise as a fire-maker and for his hearing aid device?","Oin is known for fire-making and his hearing aid device."
"Orcrist","Glamdring","Ulmo","Sting","Lord Of The Rings","What is the name of the sword found by Thorin Oakenshield in a troll-hoard, which he later wields?","Orcrist is the sword found by Thorin in 'The Hobbit.'"
"Prince Imrahil","The Battle of the Pelennor Fields","The Corsairs of Umbar","The Horn of Gondor","Lord Of The Rings","Who is the noble leader of the Swan Knights of Dol Amroth and a trusted ally of Gondor?","Prince Imrahil' is a notable character."
"Quickbeam","Tharbad","Radagast","The Eagles","Lord Of The Rings","Who is the gentle and thoughtful Ent, a member of the Ents of Fangorn Forest, known for his slow speech and deep thinking, who befriends Merry and Pippin?","Quickbeam' is a memorable Ent character."
"Radagast the Brown","Elrond","Eagles","Uruk-hai","Lord Of The Rings","Which Istari wizard is known for his affinity with animals and nature?","Radagast the Brown is known for his connection to nature."
"Radagast","The Entwives","Tharbad","The Eagles","Lord Of The Rings","What is the name of one of the Istari, the wizards sent by the Valar to Middle-earth, who has a deep affinity for animals and nature, and is briefly mentioned?","Radagast is one of the Istari."
"Ringwraiths","The Council of Elrond","Nazgûl","The Last Alliance of Elves and Men","Lord Of The Rings","What are the terrifying and undead servants of Sauron, formerly men who were corrupted by the Nine Rings, and are also known as the Nazgûl or Black Riders?","Ringwraiths are Sauron's formidable servants."
"Rivendell","Isengard","Minas Tirith","Hobbiton","Lord Of The Rings","What elven sanctuary serves as a refuge for the Fellowship of the Ring?","Rivendell is the elven sanctuary where the Fellowship finds refuge."
"Rohan","Isengard","Mithril Shirt","Grey Havens","Lord Of The Rings","Which land is known for its horse-lords and vast grasslands?","Rohan is known for its horse-lords and grasslands."
"Saruman","Balrog","Eowyn","Galadriel","Lord Of The Rings","Which wizard initially joins the White Council but later turns to treachery?","Saruman initially joins the White Council but turns to treachery."
"Saruman's Voice","Cloak of Invisibility","Gimli's Battle Axe","Evenstar Necklace","Lord Of The Rings","What power does Saruman, one of the Istari wizards, use to influence and control the minds of others?","Saruman uses his voice to influence and control."
"Shadowfax","Gimli's Axe","Boromir's Horn","Haldir","Lord Of The Rings","What is the name of Gandalf's majestic and swiftest steed?","Shadowfax is Gandalf's majestic steed."
"Shelob","Theoden","Gondor","Boromir","Lord Of The Rings","What terrifying creature dwells in Cirith Ungol and poses a threat to Frodo and Sam?","Shelob is the terrifying creature in Cirith Ungol."
"Smaug the Dragon","The Hobbit","The Battle of Azanulbizar","The Great Goblin","Lord Of The Rings","What fearsome and treasure-hoarding creature is the primary antagonist of 'The Hobbit'?","Smaug is the primary antagonist."
"Smeagol","Elendil","Arwen","Frodo's Journal","Lord Of The Rings","What is the original name of the character who becomes Gollum after being corrupted by the One Ring?","Smeagol is the original name of the character who becomes Gollum."
"Sting","Glamdring","Orcrist","Ulmo","Lord Of The Rings","What is the name of the small Elvish blade given to Frodo by Bilbo, which glows blue when orcs are nearby?","Sting is the small Elvish blade given to Frodo."
"Tharbad","The Entwives","The Gladden Fields","The Eagles","Lord Of The Rings","What is the name of the ruined city and river crossing located in the ancient land of Cardolan, which the Fellowship encounters on their journey?","Tharbad is an ancient city in ruins."
"Battle of Pelennor","Bill Ferny","Bree","Beregond","Lord Of The Rings","What is the name of the pivotal battle where the forces of Gondor and Rohan unite to defend Minas Tirith against Sauron's armies, including the Witch-king of Angmar and the Haradrim?","The 'Battle of Pelennor' is a major conflict."
"The Battle of the Pelennor Fields","The Corsair Ships","The Return of the King","The Destruction of the Ring","Lord Of The Rings","Which major battle takes place outside the walls of Minas Tirith, where the combined forces of Gondor and Rohan face Sauron's armies, including the Witch-king of Angmar and the Haradrim?","The 'Battle of the Pelennor Fields' is a pivotal conflict."
"The Black Serpent of Harad","Prince Imrahil","The Horn of Gondor","The Haradrim","Lord Of The Rings","What is the symbol or emblem that represents the forces of Harad, particularly the Haradrim warriors who fight for Sauron during the Battle of the Pelennor Fields?","The 'Black Serpent of Harad' is a distinctive symbol."
"The Corsairs of Umbar","The Corsair Ships","The Destruction of the Ring","The Battle of the Pelennor Fields","Lord Of The Rings","Who are the seafaring pirates and mariners from Umbar who serve as allies to Sauron and attack the city of Minas Tirith with their ships during the War of the Ring?","The 'Corsairs of Umbar' are formidable foes."
"The Destruction of the Ring","The Departure of Frodo","The Return of the King","The Grey Havens","Lord Of The Rings","What event marks the final and ultimate defeat of Sauron, as the One Ring is destroyed in the fires of Mount Doom by Frodo Baggins and the Ring's evil power is vanquished?","The 'Destruction of the Ring' is a climactic moment."
"The Entwives","The Trollshaws","The Gladden Fields","Weather Hills","Lord Of The Rings","What is the name of the lost Ent-women who used to dwell with the male Ents but have disappeared, leading Treebeard and the other Ents to search for them in vain?","The 'Entwives' are a mysterious element."
"Grey Company","Nazgûl","War of the Ring","Ringwraiths","Lord Of The Rings","What is the name of the group of Rangers of the North who accompany Aragorn and aid him, including Halbarad, as they travel to Gondor during the War of the Ring?","The 'Grey Company' is led by Aragorn."
"The Horn of Gondor","The Corsair Ships","The Corsairs of Umbar","The Battle of the Pelennor Fields","Lord Of The Rings","What is the name of the horn that Boromir carries as a member of the Fellowship of the Ring, which is blown in a moment of dire need to call for aid during an Orc attack?","The 'Horn of Gondor' is an important item."
"War of the Ring","The Council of Elrond","Nazgûl","Ringwraiths","Lord Of The Rings","What is the name of the overarching conflict and series of events which center around the quest to destroy the One Ring and the battles against the forces of Sauron?","The 'War of the Ring' is a central theme."
"Weather Hills","The Wold","Grey Company","War of the Ring","Lord Of The Rings","What is the name of the series of low, rolling hills where the Nazgûl (Ringwraiths) pursue the hobbits Frodo and Aragorn as they journey toward Rivendell?","The 'Weather Hills' are ominous."
"The Wold","Grey Company","Ringwraiths","War of the Ring","Lord Of The Rings","What is the name of the open, grassy uplands in Rohan where the Riders of Rohan, led by Éomer, engage in a battle with the forces of Saruman's Uruk-hai?","The 'Wold' is a battlefield."
"The Argonath","The Battle of the Black Gate","The Battle of Helm's Deep","The Battle of Pelennor Fields","Lord Of The Rings","What awe-inspiring statues of Isildur and Anárion mark the entrance to Gondor?","The Argonath statues mark the entrance to Gondor."
"The Battle of Azanulbizar","The Battle of the Five Armies","The Great Smials","Brandy Hall","Lord Of The Rings","What significant battle takes place between Dwarves and Orcs in the northern part of the Misty Mountains, where Thorin Oakenshield's grandfather Thror was killed?","The Battle of Azanulbizar is a significant battle."
"The Battle of Pelennor Fields","The Battle of the Black Gate","The Battle of Helm's Deep","The Argonath","Lord Of The Rings","What pivotal battle takes place outside the walls of Minas Tirith?","The Battle of Pelennor Fields takes place outside Minas Tirith."
"The Battle of the Black Gate","The Battle of Helm's Deep","The Battle of Pelennor Fields","The Argonath","Lord Of The Rings","Which climactic battle unfolds at the entrance to Mordor?","The Battle of the Black Gate occurs at Mordor's entrance."
"The Brandywine River","The Morgul Vale","The Land of Shadow","The Tower of Cirith Ungol","Lord Of The Rings","What is the name of the river that marks the western boundary of the Shire, and it is crossed by Frodo and his companions on their way to Bree?","The Brandywine River is a significant boundary."
"The Bridge of Khazad-dûm","Cloak of Invisibility","The Paths of the Dead","Evenstar Necklace","Lord Of The Rings","What perilous location in the Mines of Moria becomes the site of a dramatic confrontation with a Balrog?","The Bridge of Khazad-dûm is the site of the confrontation."
"The Bucklebury Ferry","The Old Forest","The Barrow-downs","Tom Bombadil's House","Lord Of The Rings","What is the name of the ferry that Frodo, Sam, Merry, and Pippin use to cross the Brandywine River on their journey out of the Shire?","The Bucklebury Ferry is used for their crossing."
"The Corsair Ships","The Return of the King","The Destruction of the Ring","The Grey Havens","Lord Of The Rings","What term is used to describe the fleet of ships from Umbar that arrives to besiege Gondor, bringing reinforcements to Sauron's forces during the War of the Ring?","The Corsair Ships' are a key element."
"The Crown of Gondor","Cloak of Invisibility","Radagast's Rabbit Sled","The Elendilmir","Lord Of The Rings","What ceremonial headpiece represents the kingship of Gondor and is used in the coronation of Aragorn as the King of Gondor?","The Crown of Gondor represents the kingship of Gondor."
"The Dead Men of Dunharrow","Prince Imrahil","The Black Serpent of Harad","The Haradrim","Lord Of The Rings","Who are the spectral and cursed warriors of the Oathbreakers who answer Aragorn's call for aid at the Stone of Erech?","The Dead Men of Dunharrow' are essential to the story."
"The Destruction of Isengard","The Battle of the Pelennor Fields","The Siege of Minas Tirith","The Witch-king of Angmar","Lord Of The Rings","What event involves the flooding of the Ents and the destruction of the fortress of Isengard, breaking Saruman's power and leading to his eventual downfall?","The Destruction of Isengard is a significant event."
"The Eagles","The Entwives","The Trollshaws","The Gladden Fields","Lord Of The Rings","What is the name of the noble and powerful giant eagles who aid various characters throughout 'The Lord of the Rings', including rescuing Frodo and Sam from Mount Doom?","The Eagles' are significant allies in the story."
"The Elendilmir","Cloak of Invisibility","The Crown of Gondor","Radagast's Rabbit Sled","Lord Of The Rings","What is the name of the legendary white gem that once adorned the helm of the Kings of Arnor and later becomes an heirloom of Aragorn?","The Elendilmir is a white gem of the Kings of Arnor."
"The Fellowship of the Ring","The Two Towers","The Silmarillion","The Return of the King","Lord Of The Rings","What is the name of the group formed to carry the One Ring to Mount Doom and destroy it?","The Fellowship of the Ring is the group formed for this purpose."
"The Field of Cormallen","The Steward and the King","Homeward Bound","Many Partings","Lord Of The Rings","What is the name of the location where the victorious Free Peoples of Middle-earth gather to celebrate their victory over Sauron and his forces following the Battle of the Morannon?","The Field of Cormallen' is a joyful place."
"The Gladden Fields","The Wold","The Trollshaws","Weather Hills","Lord Of The Rings","What is the name of the marshy area where Isildur lost the One Ring after being ambushed by orcs, and the Ring remained hidden for many centuries until it was found by Gollum?","The Gladden Fields' have historical significance."
"The Great Goblin","The Hobbit","The Battle of Azanulbizar","Bolg","Lord Of The Rings","What grotesque and powerful Goblin is the ruler of the Goblin-town in the Misty Mountains?","The Great Goblin rules Goblin-town."
"The Grey Havens","The Departure of Frodo","The Shire Reckoning","The Red Book of Westmarch","Lord Of The Rings","Where do Frodo, Gandalf, Bilbo, and many Elves depart to from the shores of Middle-earth at the end of 'The Lord of the Rings', leaving behind their mortal lives and sailing to a land across the sea?","The Grey Havens' is the departing place."
"The Haradrim","Prince Imrahil","The Corsairs of Umbar","The Horn of Gondor","Lord Of The Rings","What is the collective name for the people and warriors from the lands of Harad who ally with Sauron and take part in the conflict against Gondor and the Free Peoples of Middle-earth?","The Haradrim are significant adversaries."
"The Hobbit","Thrain II","Dáin Ironfoot","Durin IV","Lord Of The Rings","Which novel by J.R.R. Tolkien serves as a prequel to 'The Lord of the Rings' and tells the story of Bilbo Baggins' adventures with a group of Dwarves?","The Hobbit' serves as a prequel to 'The Lord of the Rings.'"
"The Horn of Helm Hammerhand","The Sword of Elendil","Smeagol's Precious","Gimli's Helmet","Lord Of The Rings","What powerful horn associated with the King of Rohan is sounded during the Battle of Helm's Deep?","The Horn of Helm Hammerhand is sounded at Helm's Deep."
"The Land of Shadow","The Morgul Vale","The Field of Cormallen","The Tower of Cirith Ungol","Lord Of The Rings","What is the name of the region in Mordor where Mount Doom is located, and it serves as the final destination of Frodo and Sam on their quest to destroy the One Ring?","The Land of Shadow is a pivotal location."
"The Last Debate","Elendil's Sword","Isildur's Bane","The Field of Cormallen","Lord Of The Rings","Which chapter depicts a discussion among the leaders of the Free Peoples of Middle-earth as they decide how to address the threat of Sauron and his armies before the final battle?","The Last Debate' is a pivotal chapter."
"The Last of the Noldor","Elendil's Sword","The Last Debate","Isildur's Bane","Lord Of The Rings","Which chapter is primarily about the departure of the Elves from Middle-earth, marking the end of their presence in the land?","The Last of the Noldor' is a significant chapter."
"The Morgul Vale","The Land of Shadow","The Field of Cormallen","The Tower of Cirith Ungol","Lord Of The Rings","What sinister location is associated with the Nazgûl and is the setting for Frodo's encounter with the Witch-king and his confrontation with Shelob?","The Morgul Vale is a dangerous place in Mordor."
"The Mouth of Sauron","Eowyn's Shieldmaiden Armor","Beorn","Grima Wormtongue","Lord Of The Rings","Who is the dark emissary of Sauron who delivers his terms to the Captains of the West before the Battle of the Black Gate?","The Mouth of Sauron delivers Sauron's terms."
"The Old Forest","The Bucklebury Ferry","The Barrow-downs","Tom Bombadil's House","Lord Of The Rings","Which forest is described as ancient, mysterious, and potentially dangerous, home to Tom Bombadil and the site of Frodo and his companions' encounter with Old Man Willow?","The Old Forest is a significant location in the story."
