"answer","option1","option2","option3","subject","question","explanation"
"The Three Broomsticks","The Unforgivable Curses","The Triwizard Cup","The Unbreakable Vow","Harry Potter","What is the name of the popular pub in Hogsmeade frequented by wizards and witches?","The Three Broomsticks is a well-known pub."
"The Tale of the Three Brothers","The Triwizard Cup","The Third Task","The Three Broomsticks","Harry Potter","Which wizarding fairy tale tells the story of three magical brothers and the Deathly Hallows in 'Harry Potter and the Deathly Hallows'?","The tale tells the story of the Deathly Hallows."
"The Sword of Gryffindor","The Third Task","The Tale of the Three Brothers","The Three Broomsticks","Harry Potter","What powerful magical weapon is used by Harry to defeat the basilisk in the Chamber of Secrets in 'Harry Potter and the Chamber of Secrets'?","The Sword of Gryffindor is a significant weapon."
"The Sorting Hat","The Tale of the Three Brothers","The Third Task","The Sword of Gryffindor","Harry Potter","What magical object is used to assign students to their respective Hogwarts houses?","The Sorting Hat sorts students into houses."
"The Sorcerer's Stone","The Tale of the Three Brothers","The Sorting Hat","The Sword of Gryffindor","Harry Potter","What is the alternative title for the first book in the Harry Potter series, known as 'Harry Potter and the Philosopher's Stone' in the UK?","The Sorcerer's Stone is the alternative title."
"The Shrieking Shack","The Portkey","The Prisoner of Azkaban","The Slug Club","Harry Potter","What building near Hogsmeade is known for being haunted and is central to the plot in 'Harry Potter and the Prisoner of Azkaban'?","The Shrieking Shack is a significant location in the third book."
"The Room of Requirement","The Second Task","The Shrieking Shack","The Slug Club","Harry Potter","What magical room at Hogwarts only appears when a person is in great need?","The Room of Requirement appears when needed."
"The Ring Horcrux","The Room of Requirement","The Shrieking Shack","The Second Task","Harry Potter","Which object serves as one of Voldemort's Horcruxes and is connected to the Gaunt family?","The Ring Horcrux has ties to the Gaunt family."
"The Resurrection Stone","The Room of Requirement","The Ring Horcrux","The Second Task","Harry Potter","What is one of the Deathly Hallows that allows its possessor to bring back the dead briefly?","The Resurrection Stone is one of the Deathly Hallows."
"The Quidditch Pitch","The Resurrection Stone","The Room of Requirement","The Ring Horcrux","Harry Potter","Where do Quidditch matches take place?","Quidditch matches happen on the pitch."
"The Quibbler","The Resurrection Stone","The Ring Horcrux","The Quidditch Pitch","Harry Potter","What is the name of the eccentric wizarding magazine edited by Xenophilius Lovegood?","Xenophilius Lovegood edits The Quibbler."
"The Prophecy","The Resurrection Stone","The Quibbler","The Quidditch Pitch","Harry Potter","What significant object foretells the prophecy about Harry and Voldemort's fate in 'Harry Potter and the Order of the Phoenix'?","The prophecy is crucial in the fifth book's plot."
"The Prisoner of Azkaban","The Prophecy","The Quibbler","The Quidditch Pitch","Harry Potter","Which book in the Harry Potter series is the third installment, featuring Sirius Black and the Marauder's Map?","The Prisoner of Azkaban is the third book."
"The Portkey","The Prisoner of Azkaban","The Quibbler","The Prophecy","Harry Potter","What magical object is used to transport Harry to the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","The Portkey is used for transportation to the tournament."
"The Philosopher's Stone","The Knight Bus","The Invisibility Cloak","The King's Cross","Harry Potter","What magical object is sought by Voldemort to regain his full strength in 'Harry Potter and the Philosopher's Stone'?","The Philosopher's Stone is a sought-after object."
"The Order of the Phoenix","The Invisibility Cloak","The King's Cross","The Philosopher's Stone","Harry Potter","What secret organization is led by Albus Dumbledore to fight against Voldemort's forces?","The Order of the Phoenix opposes Voldemort."
"The Mirror of Erised","The Invisibility Cloak","The Order of the Phoenix","The Philosopher's Stone","Harry Potter","What enchanted mirror shows the deepest desires of the heart?","The Mirror of Erised reveals desires."
"The Lost Diadem of Ravenclaw","The Marauder's Map","The Order of the Phoenix","The Mirror of Erised","Harry Potter","What item from Hogwarts is turned into a Horcrux by Voldemort in 'Harry Potter and the Deathly Hallows'?","The Lost Diadem of Ravenclaw becomes a Horcrux."
"The Locket Horcrux","The Lost Diadem of Ravenclaw","The Marauder's Map","The Mirror of Erised","Harry Potter","Which object serves as one of Voldemort's Horcruxes and is worn by Dolores Umbridge in 'Harry Potter and the Deathly Hallows'?","The Locket Horcrux is worn by Umbridge."
"The Leaky Cauldron","The Lost Diadem of Ravenclaw","The Marauder's Map","The Locket Horcrux","Harry Potter","What is the name of the pub in London that serves as the gateway to Diagon Alley?","The Leaky Cauldron is the entrance to Diagon Alley."
"The Knight Bus","The Lost Diadem of Ravenclaw","The Locket Horcrux","The Leaky Cauldron","Harry Potter","What is the name of the magical bus that transports witches and wizards in emergencies?","The Knight Bus provides emergency transportation."
"The Invisibility Cloak","The Knight Bus","The King's Cross","The Leaky Cauldron","Harry Potter","What magical item allows the wearer to become invisible?","The Invisibility Cloak grants invisibility."
"The Inquisitorial Squad","The Half-Blood Prince","Buckbeak","The Hall of Prophecy","Harry Potter","What is the name of the group of students appointed by Dolores Umbridge to assist in enforcing rules at Hogwarts in 'Harry Potter and the Order of the Phoenix'?","The Inquisitorial Squad assists Umbridge in enforcing."
"The Hungarian Horntail","The Norwegian Ridgeback","The Chinese Fireball","The Swedish Short-Snout","Harry Potter","In 'Harry Potter and the Goblet of Fire', which dragon does Harry face during the Triwizard Tournament's first task at the Triwizard Cup competition?","Harry faces the Hungarian Horntail in the Dragon Challenge."
"Sybill Trelawney","Dolores Umbridge","Filius Flitwick","Albus Dumbledore","Harry Potter","Who is the Divination professor at Hogwarts, known for her eccentric and often inaccurate predictions?","Sybill Trelawney teaches Divination."
"Stupefy","Protego","Avada Kedavra","Expulso","Harry Potter","Which spell is used to stun and temporarily incapacitate the target?","The Stupefy spell is used to stun and temporarily incapacitate the target."
"St. Mungo's Hospital for Magical Maladies and Injuries","Basilisk","Battle at the Department of Mysteries","Astronomy Tower","Harry Potter","Where can witches and wizards go for medical treatment?","St. Mungo's is the wizarding hospital for magical ailments."
"Slytherin House","Quidditch World Cup","Ravenclaw House","Moody's Magical Eye","Harry Potter","Which Hogwarts house values ambition, cunning, and resourcefulness?","Slytherin is one of the four houses at Hogwarts."
"Sirius Black","Slytherin House","Moody's Magical Eye","Sirius Black's Escape from Azkaban","Harry Potter","Who is Harry Potter's godfather and a member of the Order of the Phoenix?","Sirius Black is Harry's godfather and an important character."
"Shell Cottage","Slytherin House","Sirius Black","Sirius Black's Escape from Azkaban","Harry Potter","What is the name of the seaside home where Bill and Fleur Weasley reside?","Shell Cottage is the Weasley family's residence."
"Severus Snape","Shell Cottage","Sirius Black","Sirius Black's Escape from Azkaban","Harry Potter","Who is the Potions Master, head of Slytherin House, and a complex character with a dark past?","Severus Snape is a complex character with a significant role."
"Scabbers","Severus Snape","Shell Cottage","Sirius Black","Harry Potter","What is the nickname of Ron Weasley's pet rat, who is later revealed to be an Animagus?","Scabbers is the nickname of Ron's pet rat."
"Salazar Slytherin's Locket","Severus Snape","Scabbers","Shell Cottage","Harry Potter","Which valuable magical object is turned into a Horcrux by Voldemort?","Salazar Slytherin's locket is turned into a Horcrux."
"Rubeus Hagrid","Hedwig","Harry Potter","Helga Hufflepuff's Cup","Harry Potter","Who is the gamekeeper and Keeper of Keys and Grounds at Hogwarts School of Witchcraft and Wizardry?","Rubeus Hagrid is the gamekeeper at Hogwarts."
"Rowena Ravenclaw's Diadem","Salazar Slytherin's Locket","Scabbers","Severus Snape","Harry Potter","Which lost relic of Rowena Ravenclaw is used as a Horcrux by Voldemort?","The diadem of Rowena Ravenclaw is a Horcrux."
"Room of Requirement","Vernon Dursley","Petunia Dursley","Dudley Dursley","Harry Potter","What magical room within Hogwarts School of Witchcraft and Wizardry can transform into whatever the person seeking it needs at the moment?","The Room of Requirement is a versatile magical space."
"Ron Weasley","Salazar Slytherin's Locket","Rowena Ravenclaw's Diadem","Scabbers","Harry Potter","Who is one of Harry Potter's best friends and a member of the Weasley family?","Ron Weasley is a close friend and loyal companion of Harry."
"Rita Skeeter","Ron Weasley","Rowena Ravenclaw's Diadem","Salazar Slytherin's Locket","Harry Potter","Who is a sensationalist journalist and an unregistered Animagus?","Rita Skeeter is known for her sensationalist journalism."
"Riddikulus","Lumos","Accio","Nox","Harry Potter","Which spell is used to transform a Boggart into something amusing?","The Riddikulus spell is used to turn a Boggart, a creature that takes the form of one's greatest fear, into something humorous."
"Remus Lupin","Quirinus Quirrell","Minerva McGonagall","Alastor Moody","Harry Potter","Who is a former Defense Against the Dark Arts teacher and a skilled werewolf?","Remus Lupin is a former DADA teacher and a werewolf."
"Reducto","Crucio","Expelliarmus","Imperio","Harry Potter","Which spell is used to reduce the size of the target or disintegrate objects?","The Reducto spell is used to reduce the size of the target or disintegrate objects."
"Ravenclaw House","Remus Lupin","Ron Weasley","Rita Skeeter","Harry Potter","Which Hogwarts house values intelligence, creativity, and wisdom?","Ravenclaw is one of the four houses at Hogwarts."
"Quirinus Quirrell","Horace Slughorn","Pomona Sprout","Severus Snape","Harry Potter","Which epic battle takes place at Hogwarts in the final book?","Quirinus Quirrell serves as DADA teacher in the first book."
"Quidditch World Cup","Remus Lupin","Ravenclaw House","Rita Skeeter","Harry Potter","Which major international Quidditch sporting event is held every four years?","The Quidditch World Cup is a major sporting event in the wizarding world."
"Protego","Stupefy","Reducto","Expulso","Harry Potter","Which spell is used to create a magical barrier to deflect spells and physical attacks?","The Protego spell creates a magical barrier to deflect spells and physical attacks."
"Pomona Sprout","Dolores Umbridge","Sybill Trelawney","Albus Dumbledore","Harry Potter","Who is the Herbology professor and head of Hufflepuff House at Hogwarts?","Pomona Sprout is the Herbology professor."
"Platform 9¾","Narcissa Malfoy","Narcissa Black","Nearly Headless Nick","Harry Potter","What is the magical platform at King's Cross Station that serves as the entrance to the Hogwarts Express?","Platform 9¾ is the entrance to the Hogwarts Express at King's Cross Station."
"Petunia Dursley","Vernon Dursley","Room of Requirement","Dudley Dursley","Harry Potter","Who is Harry Potter's aunt and the sister of Harry's mother, Lily Potter?","Petunia Dursley is Harry's aunt."
"Peter Pettigrew","Platform 9¾","Narcissa Malfoy","Narcissa Black","Harry Potter","Who is a former friend of James Potter and a traitor who betrayed the Potters to Voldemort?","Peter Pettigrew is a former friend who betrayed the Potters."
"Percy Weasley","Platform 9¾","Narcissa Black","Peter Pettigrew","Harry Potter","Who is the third eldest Weasley sibling, known for his studious and rule-abiding nature?","Percy Weasley is a member of the Weasley family."
"Peeves the Poltergeist","Platform 9¾","Percy Weasley","Peter Pettigrew","Harry Potter","Who is a mischievous and troublesome poltergeist who causes chaos at Hogwarts?","Peeves is a troublesome poltergeist at Hogwarts."
"Olympe Maxime","Peter Pettigrew","Percy Weasley","Peeves the Poltergeist","Harry Potter","Who is the headmistress of Beauxbatons Academy of Magic and a half-giant?","Olympe Maxime is a half-giant and headmistress at Beauxbatons."
"Ollivanders Wand Shop","Olympe Maxime","Percy Weasley","Peeves the Poltergeist","Harry Potter","What is the name of the wand shop in Diagon Alley, known for selling a wide range of magical wands?","Ollivanders is a renowned wand shop in Diagon Alley."
"Oliver Wood","Olympe Maxime","Ollivanders Wand Shop","Peeves the Poltergeist","Harry Potter","Who is the captain and keeper of the Gryffindor Quidditch team?","Oliver Wood serves as the captain and keeper for Gryffindor's Quidditch team."
"Nymphadora Tonks","Ollivanders Wand Shop","Oliver Wood","Olympe Maxime","Harry Potter","Who is a Metamorphmagus and an Auror, known for her ability to change her appearance at will?","Nymphadora Tonks is a skilled Auror and Metamorphmagus."
"Nox","Lumos","Expelliarmus","Protego","Harry Potter","Which spell is used to extinguish the light at the tip of the wand?","The Nox spell is used to extinguish the light created by the Lumos spell."
"Neville Longbottom","Ollivanders Wand Shop","Nymphadora Tonks","Oliver Wood","Harry Potter","Who is a courageous and determined Gryffindor student, known for his bravery?","Neville Longbottom is a brave Gryffindor."
"Nearly Headless Nick","Nymphadora Tonks","Neville Longbottom","Oliver Wood","Harry Potter","What is the nickname of Sir Nicholas de Mimsy-Porpington, a ghost who is nearly beheaded?","Nearly Headless Nick is a ghost with a nearly beheaded appearance."
"Narcissa Malfoy","Nymphadora Tonks","Neville Longbottom","Nearly Headless Nick","Harry Potter","Who is the mother of Draco Malfoy and the wife of Lucius Malfoy?","Narcissa Malfoy is Draco's mother and Lucius's wife."
"Nagini","Narcissa Malfoy","Narcissa Black","Nearly Headless Nick","Harry Potter","What is the name of Voldemort's snake, which is also one of his Horcruxes,?","Nagini is the name of Voldemort's snake, which becomes a Horcrux."
"Molly Weasley","Moodys Magical Eye","Honeydukes","Horace Slughorn","Harry Potter","Who is the mother of the Weasley family and known for her loving and protective nature?","Molly Weasley is the caring mother of the Weasley siblings."
"Moaning Myrtle","Moodys Magical Eye","Honeydukes","Molly Weasley","Harry Potter","Who is a ghost haunting the girls' bathroom on the second floor of Hogwarts and known for her sorrowful and ghostly demeanor?","Moaning Myrtle is a ghost at Hogwarts."
"Minerva McGonagall","Quirinus Quirrell","Horace Slughorn","Alastor Moody","Harry Potter","Who is the Deputy Headmistress, Transfiguration professor, and head of Gryffindor House at Hogwarts?","Minerva McGonagall holds several important positions at Hogwarts."
"Marvolo Gaunts Ring","Moodys Magical Eye","Moaning Myrtle","Molly Weasley","Harry Potter","Which object is one of Voldemort's Horcruxes, and is destroyed using a basilisk fang?","Marvolo Gaunts Ring is one of Voldemort's Horcruxes."
"Malfoy Manor","Moaning Myrtle","Molly Weasley","Marvolo Gaunts Ring","Harry Potter","What is the name of the Malfoy family's ancestral home, where significant events occur?","Malfoy Manor is the ancestral home of the Malfoy family."
"Madam Pomfrey","Malfoy Manor","Moaning Myrtle","Marvolo Gaunts Ring","Harry Potter","Who is the Hogwarts matron and responsible for tending to the injuries and illnesses of students?","Madam Pomfrey serves as the matron at Hogwarts."
"Mad-Eye Moody","Malfoy Manor","Madam Pomfrey","Marvolo Gaunts Ring","Harry Potter","Who is a famous Auror and a member of the Order of the Phoenix, known for his magical eye?","Mad-Eye Moody is a skilled Auror with a magical eye."
"Luna Lovegood","Mad-Eye Moody","Madam Pomfrey","Malfoy Manor","Harry Potter","Who is known for her dreamy and eccentric personality, and is a member of Dumbledore's Army?","Luna Lovegood is known for her unique personality and involvement in Dumbledore's Army."
"Lumos","Stupefy","Accio","Nox","Harry Potter","Which spell is used to create light at the tip of the caster's wand?","The Lumos spell creates light at the tip of the caster's wand for illumination."
"Lucius Malfoy","Mad-Eye Moody","Madam Pomfrey","Luna Lovegood","Harry Potter","Who is a wealthy and influential pure-blood wizard, known for his affiliation with the Death Eaters?","Lucius Malfoy is a prominent character known for his association with the Death Eaters."
"Lovegoods Lunacy","Mad-Eye Moody","Luna Lovegood","Lucius Malfoy","Harry Potter","What is the name of the magazine that publishes Luna Lovegood's father's articles on strange creatures?","Lovegoods Lunacy is the magazine that features articles by Luna Lovegood's father."
"Lord Voldemort","Lovegoods Lunacy","Luna Lovegood","Lucius Malfoy","Harry Potter","Who is the main antagonist of the Harry Potter series, often referred to as the Dark Lord?","Lord Voldemort is the primary antagonist in the series."
"Kreacher","Lord Voldemort","Lovegoods Lunacy","Lucius Malfoy","Harry Potter","Who is the Black family's house-elf, known for his loyalty to the Black family and later to Harry Potter?","Kreacher is the Black family's loyal house-elf."
"Incendio","Alohomora","Lumos","Nox","Harry Potter","Which spell is used to start a fire?","The Incendio spell is used to start fires."
"Imperio","Crucio","Stupefy","Avada Kedavra","Harry Potter","Which Unforgivable Curse places the target under the complete control of the caster?","The Imperius Curse, or Imperio, allows the caster to control the actions of the target completely."
"Hufflepuff House","Kreacher","Lord Voldemort","Lovegoods Lunacy","Harry Potter","Which Hogwarts house values loyalty, patience, and hard work?","Hufflepuff is one of the four houses at Hogwarts."
"Horace Slughorn","Severus Snape","Sybill Trelawney","Pomona Sprout","Harry Potter","Who is the Potions Master and head of Slytherin House at Hogwarts, known for his Slug Club?","Horace Slughorn is the Potions Master and head of Slytherin."
"Horace Slughorn","Kreacher","Lord Voldemort","Hufflepuff House","Harry Potter","Who is the Potions Master at Hogwarts School of Witchcraft and Wizardry and known for his Slug Club?","Horace Slughorn is the Potions Master and head of the Slug Club."
"Honeydukes","Horace Slughorn","Kreacher","Hufflepuff House","Harry Potter","What is the name of the popular wizarding sweet shop in Hogsmeade?","Honeydukes is a famous wizarding sweet shop in Hogsmeade."
"Holly Wood with a Phoenix Feather Core","The Whomping Willow","Thestral Carriages","The Yule Ball","Harry Potter","What is the type of wood and core material used in Harry Potter's wand?","Harry's wand has Holly wood with a Phoenix feather core."
"Hogwarts School of Witchcraft and Wizardry","Gregory Goyle","Godric's Hollow","Ginny Weasley","Harry Potter","What is the name of the magical school where young witches and wizards receive their education?","Hogwarts is the renowned wizarding school."
"Hermione Granger","Godric's Hollow","Ginny Weasley","Hogwarts School of Witchcraft and Wizardry","Harry Potter","Who is a highly intelligent and skilled witch and one of Harry Potter's best friends?","Hermione Granger is known for her intelligence and friendship with Harry."
"Helga Hufflepuff's Cup","Ginny Weasley","Hermione Granger","Hogwarts School of Witchcraft and Wizardry","Harry Potter","Which object is one of Voldemort's Horcruxes and is hidden in Bellatrix Lestrange's vault at Gringotts?","Helga Hufflepuff's Cup is one of Voldemort's Horcruxes."
"Hedwig","Helga Hufflepuff's Cup","Hermione Granger","Hogwarts School of Witchcraft and Wizardry","Harry Potter","What is the name of Harry Potter's loyal snowy owl and pet?","Hedwig is Harry's loyal pet owl."
"Hawthorn Wood with a Unicorn Hair Core","Vine Wood with a Dragon Heartstring Core","Cypress Wood with a Unicorn Hair Core","Willow Wood with a Unicorn Hair Core","Harry Potter","What type of wood and core material is used in the wand of Draco Malfoy?","Draco Malfoy's wand is made of Hawthorn wood with a Unicorn hair core."
"Harry Potter","Helga Hufflepuff's Cup","Hedwig","Hermione Granger","Harry Potter","Who is the central character and 'the Boy Who Lived'?","Harry Potter is the central character in the series."
"Hagrid's Hut","Harry Potter","Hedwig","Helga Hufflepuff's Cup","Harry Potter","What is the name of Hagrid's small wooden house located on the grounds of Hogwarts?","Hagrid's Hut is the home of Rubeus Hagrid on the Hogwarts grounds."
"Gryffindor House","Harry Potter","Hagrid's Hut","Hagrid","Harry Potter","Which Hogwarts house is known for its values of courage, bravery, and chivalry?","Gryffindor is one of the four houses at Hogwarts."
"Gringotts Wizarding Bank","Rubeus Hagrid","Gryffindor House","Hagrid's Hut","Harry Potter","What is the name of the goblin-run bank in the wizarding world known for its high security?","Gringotts is the goblin-managed bank in the wizarding world."
"Grindylows","Mermaids","Selkies","Kelpies","Harry Potter","During the Triwizard Tournament's second task in 'Harry Potter and the Goblet of Fire', what underwater creatures attack the champions when they retrieve the hostages from the lake?","Grindylows are the creatures that attack the champions during the Mermaid Challenge."
"Grindelwald's Imprisonment","Gryffindor House","Hagrid","Gringotts Wizarding Bank","Harry Potter","Which event refers to the incarceration of the dark wizard Gellert Grindelwald?","Grindelwald's imprisonment marks a significant event in wizarding history."
"Gregory Goyle","Gryffindor House","Gringotts Wizarding Bank","Grindelwald's Imprisonment","Harry Potter","Who is a Slytherin student at Hogwarts and one of Draco Malfoy's loyal followers?","Gregory Goyle is a Slytherin student and a follower of Draco Malfoy."
"Godric's Hollow","Gregory Goyle","Gryffindor House","Gringotts Wizarding Bank","Harry Potter","Which village is known for being the birthplace of Harry Potter and the location of his parents' house?","Godric's Hollow is the village where Harry Potter was born and his parents' house was located."
"Ginny Weasley","Gregory Goyle","Godric's Hollow","Grindelwald's Imprisonment","Harry Potter","Who is the youngest member of the Weasley family and a talented witch?","Ginny Weasley is the youngest Weasley sibling and a skilled witch."
"Gilderoy Lockhart","Fred and George Weasley's Joke Shop","Fleur Delacour","Fred Weasley","Harry Potter","Who is a famous but somewhat incompetent wizard and author in the Harry Potter series, known for his charm and good looks?","Gilderoy Lockhart is known for his celebrity status and books."
"George Weasley","Fleur Delacour","Gilderoy Lockhart","Fred Weasley","Harry Potter","Which Weasley twin is known for his sense of humor and co-owns Weasleys' Wizard Wheezes?","George Weasley is known for his sense of humor."
"Gellert Grindelwald","Gilderoy Lockhart","Fred and George Weasley's Joke Shop","George Weasley","Harry Potter","Who is a dark wizard and one of Albus Dumbledore's former close friends, known for his dangerous ideas and actions?","Gellert Grindelwald is a dark wizard and a significant character."
"Fred Weasley","Gellert Grindelwald","Gilderoy Lockhart","George Weasley","Harry Potter","Which Weasley twin is known for his sense of humor and co-owns Weasleys' Wizard Wheezes?","Fred Weasley is known for his sense of humor."
"Fred and George Weasleys Joke Shop","Gellert Grindelwald","George Weasley","Fred Weasley","Harry Potter","Which joke shop is owned by the mischievous Weasley twins and becomes very popular?","Fred and George Weasley own the joke shop."
"Fleur Delacour","Gilderoy Lockhart","Fred and George Weasley","Fred Weasley","Harry Potter","Who is a talented and graceful Beauxbatons Academy student and a Triwizard Tournament champion?","Fleur Delacour represents Beauxbatons in the Triwizard Tournament."
"Filius Flitwick","Rubeus Hagrid","Minerva McGonagall","Remus Lupin","Harry Potter","Who is the Charms Master and head of Ravenclaw House at Hogwarts?","Filius Flitwick is the Charms Master at Hogwarts."
"Expulso","crucio","imperio","reducto","Harry Potter","Which spell is used to cause objects to explode?","The Expulso spell causes objects to explode when cast."
"Expelliarmus","protego","Stupefy","Expulso","Harry Potter","What spell is commonly used to disarm opponents by forcing them to release whatever they are holding?","Expelliarmus is the Disarming Charm used to disarm opponents by forcing them to release what they are holding."
"Expecto Patronum","Lumos","Incendio","Nox","Harry Potter","Which spell conjures a Patronus to ward off Dementors and other dark creatures?","Expecto Patronum is used to summon a Patronus, which is a protective guardian against dark creatures like Dementors."
"Elder Wood with a Phoenix Feather Core","Walnut Wood with a Dragon Heartstring Core.","Yew Wood with a Phoenix Feather Core","Unknown Wood with a Dragon Heartstring Core","Harry Potter","What type of wood and core material is used in the Elder Wand, one of the Deathly Hallows?","The Elder Wand is made of Elder wood with a Phoenix feather core."
"Dumbledore","Fleur Delacour","Gilderoy Lockhart","Fred Weasley","Harry Potter","Who is the wise and respected headmaster of Hogwarts School of Witchcraft and Wizardry?","Albus Dumbledore is the headmaster of Hogwarts."
"Dudley Dursley","Vernon Dursley","Room of Requirement","Petunia Dursley","Harry Potter","Who is Harry Potter's cousin and the son of Vernon and Petunia Dursley?","Dudley Dursley is Harry's cousin."
"Draco Malfoy","Fred and George Weasleys Joke Shop","Fleur Delacour","Dumbledore","Harry Potter","Who is a student at Hogwarts and a member of the Slytherin house, known for his rivalry with Harry Potter?","Draco Malfoy is a student in Slytherin with a rivalry with Harry."
"Dolores Umbridge","Draco Malfoy","Dumbledore","Fleur Delacour","Harry Potter","Who is the Hogwarts High Inquisitor and a character known for her strict and oppressive rule over the school?","Dolores Umbridge serves as the High Inquisitor at Hogwarts."
"Dolores Umbridge","Rubeus Hagrid","Filius Flitwick","Albus Dumbledore","Harry Potter","Who is the Senior Undersecretary to the Minister for Magic and a tyrannical Hogwarts High Inquisitor?","Dolores Umbridge is a controversial character in the series."
"Dobby the House Elf","Gellert Grindelwald","Fred and George Weasleys Joke Shop","Fred Weasley","Harry Potter","Which house-elf is known for his loyalty to Harry Potter and his role in various events?","Dobby is a house-elf known for his loyalty to Harry."
"Diagon Alley","Draco Malfoy","Dobby the House Elf","Fred Weasley","Harry Potter","Which magical shopping district in London is known for its various wizarding shops and businesses?","Diagon Alley is a famous wizarding shopping district in London."
"Cypress Wood with a Unicorn Hair Core","Vine Wood with a Dragon Heartstring Core","Hawthorn Wood with a Unicorn Hair Core","Willow Wood with a Unicorn Hair Core","Harry Potter","What type of wood and core material is used in the wand of Sybill Trelawney, the Divination professor,?","Sybill Trelawney's wand is made of Cypress wood with a Unicorn hair core."
