"The Last Debate","488"
"The Field of Cormallen","489"
"The Steward and the King","490"
"Many Partings","491"
"Homeward Bound","492"
"Bill Ferny","493"
"Beregond","494"
"Goldberry","495"
"Éomer","496"
"Gwaihir","497"
"Radagast","498"
"Quickbeam","499"
"The Eagles","500"
"Shadowfax","501"
"Lothlórien","502"
"Fangorn","503"
"The Entwives","504"
"Bree","505"
"Buckland","506"
"The Great River","507"
"Anduin","508"
"The Paths of the Dead","509"
"The Dead Marshes","510"
"The Black Gate","511"
"Dagorlad","512"
"Harlindon","513"
"Forlindon","514"
"Hollin","515"
"Emyn Muil","516"
"The Gladden Fields","517"
"The Wold","518"
"The Weather Hills","519"
"Tharbad","520"
"The Trollshaws","521"
"Anórien","522"
"Ithilien","523"
"Frodo's Mithril Shirt","524"
"Samwise's Cooking Pot","525"
"The Palantir of Minas Tirith","526"
"Arwen's Evenstar Necklace","527"
"Gimli's Battle Axe","528"
"Legolas' Fighting Knives","529"
"Saruman's Voice","530"
"Frodo's Orc Disguise","531"
"The Bridge of Khazad-dûm","532"
"The Paths of the Dead","533"
"Oin","534"
"Nori","535"
"Dori","536"
"Frodo's Phial of Galadriel","537"
"Galadriel's Rope","538"
"The Mirror of Galadriel","539"
"Treebeard's Ent-draught","540"
"Barrow-wights","541"
"The Battle of Five Armies","542"
"Thorin Oakenshield","543"
"Bard the Bowman","544"
"Beorn's Skin-changing","545"
"The Hobbit","546"
"Durin IV","547"
"Thrain II","548"
"Dáin Ironfoot","549"
"Thranduil's Crown","550"
"Smaug the Dragon","551"
"The Battle of Azanulbizar","552"
"The Battle of Five Armies","553"
"The Great Smials","554"
"Brandy Hall","555"
"Tuckborough","556"
"Michel Delving","557"
"The Sackville-Bagginses","558"
"The Hornburg","559"
"Frodo's Barrow-wight Encounter","560"
"The Entmoot","561"
"The Scouring of the Shire","562"
"The Grey Havens","563"
"The Last of the Noldor","564"
"Elendil's Sword","565"
"Isildur's Bane","566"
"The Last Debate","567"
"The Field of Cormallen","568"
"The Steward and the King","569"
"Many Partings","570"
"Homeward Bound","571"
"The Scouring of the Shire","572"
"The Grey Havens","573"
"The Last of the Noldor","574"
"Elendil's Sword","575"
"Isildur's Bane","576"
"The Last Debate","577"
"The Field of Cormallen","578"
"The Steward and the King","579"
"Many Partings","580"
"Homeward Bound","581"
"The Scouring of the Shire","582"
"The Grey Havens","583"
"The Last of the Noldor","584"
"Elendil's Sword","585"
